account_id,snapshot_date,days_past_due,outstanding_balance
A000003,2025-12-31,0,4394.8
A000004,2024-07-31,0,13613.46
A000004,2024-08-31,0,13804.28
A000004,2024-09-30,0,15539.56
A000004,2024-10-31,0,14058.79
A000004,2024-11-30,0,13973.67
A000004,2024-12-31,0,14899.83
A000004,2025-01-31,0,13544.66
A000004,2025-02-28,0,14865.28
A000004,2025-03-31,0,14774.16
A000004,2025-04-30,0,13253.79
A000004,2025-05-31,0,14081.6
A000004,2025-06-30,0,15827.93
A000004,2025-07-31,0,14859.93
A000004,2025-08-31,0,13357.43
A000004,2025-09-30,0,12400.44
A000004,2025-10-31,0,13553.61
A000004,2025-11-30,0,13652.47
A000004,2025-12-31,0,12892.97
A000005,2024-01-31,0,4516.95
A000005,2024-02-29,0,4071.95
A000005,2024-03-31,0,4697.69
A000005,2024-04-30,0,4384.91
A000005,2024-05-31,0,4481.91
A000005,2024-06-30,0,4678.9
A000005,2024-07-31,0,3868.68
A000005,2024-08-31,0,4269.23
A000005,2024-09-30,0,3981.03
A000005,2024-10-31,0,3848.88
A000005,2024-11-30,0,4768.4
A000005,2024-12-31,0,3989.51
A000005,2025-01-31,0,5120.9
A000005,2025-02-28,0,4478.46
A000005,2025-03-31,0,3844.84
A000005,2025-04-30,0,4060.37
A000005,2025-05-31,0,4102.79
A000005,2025-06-30,0,4712.61
A000005,2025-07-31,0,4241.31
A000005,2025-08-31,0,4514.57
A000005,2025-09-30,0,4423.98
A000005,2025-10-31,0,4642.1
A000005,2025-11-30,0,4417.74
A000005,2025-12-31,0,3529.01
A000006,2025-03-31,0,6018.33
A000006,2025-04-30,0,6215.46
A000006,2025-05-31,0,5014.93
A000006,2025-06-30,0,4724.15
A000006,2025-07-31,0,6274.63
A000006,2025-08-31,0,5458.74
A000006,2025-09-30,0,4857.91
A000006,2025-10-31,0,5737.69
A000006,2025-11-30,0,5577.88
A000006,2025-12-31,0,5856.83
A000007,2024-04-30,0,1331.4
A000007,2024-05-31,0,1296.88
A000007,2024-06-30,0,1530.65
A000007,2024-07-31,0,1215.19
A000007,2024-08-31,0,1234.48
A000007,2024-09-30,0,1371.49
A000007,2024-10-31,0,1197.15
A000007,2024-11-30,0,1421.87
A000007,2024-12-31,0,1238.68
A000007,2025-01-31,0,1544.1
A000007,2025-02-28,0,1328.9
A000007,2025-03-31,0,1272.04
A000007,2025-04-30,0,1329.17
A000007,2025-05-31,0,1327.62
A000007,2025-06-30,0,1389.49
A000007,2025-07-31,0,1215.51
A000007,2025-08-31,0,1313.9
A000007,2025-09-30,0,1378.31
A000007,2025-10-31,0,1307.7
A000007,2025-11-30,0,1429.14
A000007,2025-12-31,0,1440.11
A000008,2024-01-31,0,4976.74
A000008,2024-02-29,0,5056.66
A000008,2024-03-31,0,4472.73
A000008,2024-04-30,0,5265.82
A000008,2024-05-31,0,4514.11
A000008,2024-06-30,0,4763.25
A000008,2024-07-31,0,4327.51
A000008,2024-08-31,0,4689.29
A000008,2024-09-30,0,4322.22
A000008,2024-10-31,0,4905.01
A000008,2024-11-30,0,5187.21
A000008,2024-12-31,0,4538.17
A000008,2025-01-31,0,4315.19
A000008,2025-02-28,0,4687.67
A000008,2025-03-31,0,4151.66
A000008,2025-04-30,0,4636.84
A000008,2025-05-31,0,4170.73
A000008,2025-06-30,0,4329.74
A000008,2025-07-31,0,4486.26
A000008,2025-08-31,0,3941.06
A000008,2025-09-30,0,4119.65
A000008,2025-10-31,0,4167.41
A000008,2025-11-30,0,4908.37
A000008,2025-12-31,0,4767.57
A000009,2024-01-31,0,5027.09
A000009,2024-02-29,0,4390.41
A000009,2024-03-31,0,4923.71
A000009,2024-04-30,0,4601.98
A000009,2024-05-31,0,5022.25
A000009,2024-06-30,0,4355.67
A000009,2024-07-31,0,4107.16
A000009,2024-08-31,0,5200.24
A000009,2024-09-30,0,4576.6
A000009,2024-10-31,0,4664.67
A000009,2024-11-30,0,5055.12
A000009,2024-12-31,0,4389.56
A000009,2025-01-31,0,5304.99
A000009,2025-02-28,0,4738.66
A000009,2025-03-31,0,4328.91
A000009,2025-04-30,0,4406.28
A000009,2025-05-31,0,5067.3
A000009,2025-06-30,0,4482.96
A000009,2025-07-31,0,5620.93
A000009,2025-08-31,0,4733.03
A000009,2025-09-30,0,4555.07
A000009,2025-10-31,0,4909.63
A000009,2025-11-30,0,4411.5
A000009,2025-12-31,0,4329.6
A000010,2024-01-31,0,6327.0
A000010,2024-02-29,0,7090.69
A000010,2024-03-31,0,6685.21
A000010,2024-04-30,0,7192.84
A000010,2024-05-31,0,6705.75
A000010,2024-06-30,0,6966.3
A000010,2024-07-31,0,7170.89
A000010,2024-08-31,0,7788.09
A000010,2024-09-30,0,6646.94
A000010,2024-10-31,0,7092.82
A000010,2024-11-30,0,5680.45
A000010,2024-12-31,0,5732.48
A000010,2025-01-31,0,6834.63
A000010,2025-02-28,0,6565.39
A000010,2025-03-31,0,5773.56
A000010,2025-04-30,0,7502.36
A000010,2025-05-31,0,6756.92
A000010,2025-06-30,0,6465.33
A000010,2025-07-31,0,7275.54
A000010,2025-08-31,0,5795.48
A000010,2025-09-30,0,6526.21
A000010,2025-10-31,0,5547.16
A000010,2025-11-30,0,6577.34
A000010,2025-12-31,30,5840.51
A000011,2024-12-31,0,2572.19
A000011,2025-01-31,0,2737.49
A000011,2025-02-28,0,2923.59
A000011,2025-03-31,0,2600.73
A000011,2025-04-30,0,2525.42
A000011,2025-05-31,0,2719.81
A000011,2025-06-30,0,2585.05
A000011,2025-07-31,0,2745.46
A000011,2025-08-31,0,2748.86
A000011,2025-09-30,0,2740.11
A000011,2025-10-31,0,2784.6
A000011,2025-11-30,0,2832.8
A000011,2025-12-31,0,2687.03
A000012,2024-01-31,0,8044.83
A000012,2024-02-29,0,8476.78
A000012,2024-03-31,0,7863.64
A000012,2024-04-30,0,7366.54
A000012,2024-05-31,0,6928.67
A000012,2024-06-30,0,7687.82
A000012,2024-07-31,0,8618.41
A000012,2024-08-31,0,8191.73
A000012,2024-09-30,0,9102.68
A000012,2024-10-31,0,8387.67
A000012,2024-11-30,0,7996.53
A000012,2024-12-31,0,8108.23
A000012,2025-01-31,0,7871.87
A000012,2025-02-28,0,8094.31
A000012,2025-03-31,0,7289.13
A000012,2025-04-30,0,8587.17
A000012,2025-05-31,0,8260.4
A000012,2025-06-30,0,8191.49
A000012,2025-07-31,0,7290.32
A000012,2025-08-31,0,8172.27
A000012,2025-09-30,0,7778.71
A000012,2025-10-31,0,8993.11
A000012,2025-11-30,0,8739.21
A000012,2025-12-31,0,8706.22
A000013,2024-07-31,0,2979.03
A000013,2024-08-31,0,3447.21
A000013,2024-09-30,0,2940.14
A000013,2024-10-31,0,3290.1
A000013,2024-11-30,0,3207.62
A000013,2024-12-31,0,3170.27
A000013,2025-01-31,0,2934.49
A000013,2025-02-28,0,2503.17
A000013,2025-03-31,0,3332.35
A000013,2025-04-30,0,2774.05
A000013,2025-05-31,0,2906.26
A000013,2025-06-30,0,2561.83
A000013,2025-07-31,0,3363.13
A000013,2025-08-31,0,3195.69
A000013,2025-09-30,0,2827.46
A000013,2025-10-31,0,2940.67
A000013,2025-11-30,0,2818.92
A000013,2025-12-31,0,3049.33
A000014,2024-02-29,0,880.84
A000014,2024-03-31,0,950.43
A000014,2024-04-30,0,842.39
A000014,2024-05-31,0,996.03
A000014,2024-06-30,0,1013.73
A000014,2024-07-31,0,1089.8
A000014,2024-08-31,0,931.91
A000014,2024-09-30,0,1071.78
A000014,2024-10-31,0,1029.6
A000014,2024-11-30,0,828.77
A000014,2024-12-31,0,932.98
A000014,2025-01-31,0,876.51
A000014,2025-02-28,0,866.1
A000014,2025-03-31,0,941.29
A000014,2025-04-30,0,977.82
A000014,2025-05-31,0,785.95
A000014,2025-06-30,0,897.32
A000014,2025-07-31,0,945.87
A000014,2025-08-31,0,935.19
A000014,2025-09-30,0,946.47
A000014,2025-10-31,0,917.8
A000014,2025-11-30,0,913.56
A000014,2025-12-31,0,912.35
A000015,2024-06-30,0,6706.08
A000015,2024-07-31,0,5817.35
A000015,2024-08-31,0,6428.39
A000015,2024-09-30,0,5826.51
A000015,2024-10-31,0,7152.53
A000015,2024-11-30,0,6704.34
A000015,2024-12-31,0,6828.87
A000015,2025-01-31,0,6013.55
A000015,2025-02-28,0,6531.44
A000015,2025-03-31,0,6680.77
A000015,2025-04-30,0,5918.1
A000015,2025-05-31,0,6622.4
A000015,2025-06-30,0,6669.99
A000015,2025-07-31,0,5865.89
A000015,2025-08-31,0,6195.8
A000015,2025-09-30,0,6505.89
A000015,2025-10-31,0,6848.14
A000015,2025-11-30,0,6712.65
A000015,2025-12-31,0,6623.98
A000016,2024-01-31,0,3776.09
A000016,2024-02-29,0,4583.81
A000016,2024-03-31,0,4615.67
A000016,2024-04-30,0,4056.88
A000016,2024-05-31,0,4156.8
A000016,2024-06-30,0,4187.62
A000016,2024-07-31,0,4464.52
A000016,2024-08-31,0,4446.12
A000016,2024-09-30,0,4314.41
A000016,2024-10-31,0,4265.8
A000016,2024-11-30,0,4534.52
A000016,2024-12-31,0,4081.98
A000016,2025-01-31,0,4008.93
A000016,2025-02-28,0,4236.3
A000016,2025-03-31,0,3896.8
A000016,2025-04-30,0,4577.62
A000016,2025-05-31,0,4239.28
A000016,2025-06-30,0,4554.31
A000016,2025-07-31,0,4389.5
A000016,2025-08-31,0,4558.42
A000016,2025-09-30,0,4278.51
A000016,2025-10-31,0,4706.58
A000016,2025-11-30,0,4962.08
A000016,2025-12-31,0,4550.87
A000017,2024-09-30,0,9968.42
A000017,2024-10-31,0,11426.87
A000017,2024-11-30,0,9613.17
A000017,2024-12-31,0,10940.26
A000017,2025-01-31,0,9504.24
A000017,2025-02-28,0,10228.59
A000017,2025-03-31,0,10131.71
A000017,2025-04-30,0,10654.47
A000017,2025-05-31,0,9408.43
A000017,2025-06-30,0,10317.88
A000017,2025-07-31,0,10947.63
A000017,2025-08-31,0,11523.75
A000017,2025-09-30,0,10555.71
A000017,2025-10-31,0,11402.82
A000017,2025-11-30,0,9585.68
A000017,2025-12-31,0,8885.71
A000018,2024-01-31,0,4183.62
A000018,2024-02-29,0,3989.03
A000018,2024-03-31,0,4719.26
A000018,2024-04-30,0,4730.01
A000018,2024-05-31,0,4546.32
A000018,2024-06-30,0,4732.86
A000018,2024-07-31,0,4476.07
A000018,2024-08-31,0,4460.87
A000018,2024-09-30,0,4832.06
A000018,2024-10-31,0,4378.49
A000018,2024-11-30,0,4602.97
A000018,2024-12-31,0,4718.23
A000018,2025-01-31,0,4815.99
A000018,2025-02-28,0,4588.2
A000018,2025-03-31,0,4406.52
A000018,2025-04-30,0,4368.14
A000018,2025-05-31,0,3927.58
A000018,2025-06-30,0,4373.37
A000018,2025-07-31,0,4413.26
A000018,2025-08-31,0,4574.53
A000018,2025-09-30,0,4634.21
A000018,2025-10-31,0,4611.88
A000018,2025-11-30,0,4559.37
A000018,2025-12-31,0,4372.93
A000019,2024-10-31,0,2102.81
A000019,2024-11-30,0,2342.44
A000019,2024-12-31,0,2243.97
A000019,2025-01-31,0,1820.41
A000019,2025-02-28,0,1834.76
A000019,2025-03-31,0,1889.86
A000019,2025-04-30,0,2047.24
A000019,2025-05-31,0,2249.23
A000019,2025-06-30,0,2054.31
A000019,2025-07-31,30,2221.83
A000019,2025-08-31,30,2295.7
A000019,2025-09-30,0,2243.59
A000019,2025-10-31,0,1862.77
A000019,2025-11-30,0,2407.08
A000019,2025-12-31,0,2077.04
A000020,2024-05-31,0,2487.37
A000020,2024-06-30,0,2778.11
A000020,2024-07-31,0,2945.25
A000020,2024-08-31,0,2583.12
A000020,2024-09-30,0,2832.7
A000020,2024-10-31,0,2750.46
A000020,2024-11-30,0,2581.22
A000020,2024-12-31,0,2824.48
A000020,2025-01-31,0,2618.81
A000020,2025-02-28,0,2726.99
A000020,2025-03-31,0,2642.46
A000020,2025-04-30,0,2685.11
A000020,2025-05-31,0,2760.67
A000020,2025-06-30,0,2681.8
A000020,2025-07-31,0,2691.96
A000020,2025-08-31,0,2755.55
A000020,2025-09-30,0,2633.12
A000020,2025-10-31,0,2529.08
A000020,2025-11-30,0,2579.69
A000020,2025-12-31,0,2826.04
A000021,2025-02-28,0,8751.46
A000021,2025-03-31,0,6840.95
A000021,2025-04-30,0,7337.79
A000021,2025-05-31,0,7078.37
A000021,2025-06-30,30,7579.4
A000021,2025-07-31,60,7925.37
A000021,2025-08-31,90,8311.56
A000021,2025-09-30,60,7473.78
A000021,2025-10-31,60,7720.01
A000021,2025-11-30,60,7386.39
A000021,2025-12-31,90,7224.08
A000022,2024-01-31,30,14049.41
A000022,2024-02-29,30,14326.52
A000022,2024-03-31,60,12333.59
A000022,2024-04-30,90,13546.35
A000022,2024-05-31,90,14395.0
A000022,2024-06-30,60,12142.11
A000022,2024-07-31,60,11661.62
A000022,2024-08-31,90,12630.77
A000022,2024-09-30,60,14168.35
A000022,2024-10-31,30,13972.01
A000022,2024-11-30,30,13957.07
A000022,2024-12-31,30,12859.72
A000022,2025-01-31,60,14963.17
A000022,2025-02-28,30,13537.71
A000022,2025-03-31,60,13762.52
A000022,2025-04-30,60,15348.31
A000022,2025-05-31,60,13103.87
A000022,2025-06-30,90,14409.46
A000022,2025-07-31,60,12712.93
A000022,2025-08-31,90,12669.18
A000022,2025-09-30,90,13357.02
A000022,2025-10-31,60,11806.25
A000022,2025-11-30,30,12202.88
A000022,2025-12-31,60,14846.11
A000023,2024-01-31,0,2612.11
A000023,2024-02-29,0,3148.26
A000023,2024-03-31,0,2975.85
A000023,2024-04-30,0,3053.94
A000023,2024-05-31,0,2741.18
A000023,2024-06-30,0,2858.92
A000023,2024-07-31,0,2617.85
A000023,2024-08-31,0,2749.78
A000023,2024-09-30,0,2789.84
A000023,2024-10-31,0,2482.07
A000023,2024-11-30,0,2893.91
A000023,2024-12-31,0,2736.17
A000023,2025-01-31,0,2917.5
A000023,2025-02-28,0,2888.23
A000023,2025-03-31,0,2880.19
A000023,2025-04-30,0,3031.1
A000023,2025-05-31,0,3107.95
A000023,2025-06-30,0,3036.29
A000023,2025-07-31,0,2727.76
A000023,2025-08-31,0,2899.38
A000023,2025-09-30,0,2732.32
A000023,2025-10-31,0,2624.39
A000023,2025-11-30,0,2846.39
A000023,2025-12-31,0,2769.59
A000024,2024-01-31,0,2424.27
A000024,2024-02-29,0,2068.32
A000024,2024-03-31,0,2166.63
A000024,2024-04-30,0,2311.73
A000024,2024-05-31,0,1863.45
A000024,2024-06-30,0,2445.29
A000024,2024-07-31,0,2070.97
A000024,2024-08-31,0,2380.64
A000024,2024-09-30,0,2551.63
A000024,2024-10-31,0,2405.86
A000024,2024-11-30,0,2355.9
A000024,2024-12-31,0,2224.26
A000024,2025-01-31,0,1850.83
A000024,2025-02-28,0,2256.85
A000024,2025-03-31,0,2151.24
A000024,2025-04-30,0,2469.61
A000024,2025-05-31,0,2304.88
A000024,2025-06-30,0,2075.12
A000024,2025-07-31,0,2111.22
A000024,2025-08-31,0,1954.56
A000024,2025-09-30,0,2131.77
A000024,2025-10-31,0,2062.27
A000024,2025-11-30,0,2428.89
A000024,2025-12-31,0,1952.04
A000025,2024-04-30,0,8299.52
A000025,2024-05-31,0,7905.88
A000025,2024-06-30,0,8121.07
A000025,2024-07-31,0,7648.4
A000025,2024-08-31,0,9109.77
A000025,2024-09-30,0,7949.38
A000025,2024-10-31,0,7996.85
A000025,2024-11-30,0,8783.82
A000025,2024-12-31,0,8220.25
A000025,2025-01-31,0,7358.5
A000025,2025-02-28,0,8354.98
A000025,2025-03-31,0,8300.95
A000025,2025-04-30,0,7410.97
A000025,2025-05-31,0,7519.57
A000025,2025-06-30,0,7577.25
A000025,2025-07-31,0,7680.44
A000025,2025-08-31,0,8250.26
A000025,2025-09-30,0,7142.31
A000025,2025-10-31,0,7710.14
A000025,2025-11-30,0,7524.81
A000025,2025-12-31,0,7897.41
A000026,2024-10-31,0,1064.32
A000026,2024-11-30,0,1277.91
A000026,2024-12-31,0,1230.35
A000026,2025-01-31,0,1145.51
A000026,2025-02-28,0,1209.08
A000026,2025-03-31,0,1270.05
A000026,2025-04-30,0,1139.77
A000026,2025-05-31,0,1196.07
A000026,2025-06-30,0,1203.14
A000026,2025-07-31,0,1263.51
A000026,2025-08-31,0,1319.61
A000026,2025-09-30,0,1189.77
A000026,2025-10-31,0,1276.14
A000026,2025-11-30,0,1218.11
A000026,2025-12-31,0,1113.69
A000027,2024-11-30,0,883.18
A000027,2024-12-31,0,946.9
A000027,2025-01-31,0,932.85
A000027,2025-02-28,0,1036.98
A000027,2025-03-31,0,930.55
A000027,2025-04-30,30,836.72
A000027,2025-05-31,30,1057.1
A000027,2025-06-30,60,970.5
A000027,2025-07-31,60,961.2
A000027,2025-08-31,30,954.78
A000027,2025-09-30,30,859.85
A000027,2025-10-31,0,902.53
A000027,2025-11-30,0,986.23
A000027,2025-12-31,0,903.02
A000028,2024-01-31,0,1305.23
A000028,2024-02-29,0,1581.96
A000028,2024-03-31,0,1501.43
A000028,2024-04-30,0,1519.95
A000028,2024-05-31,0,1509.61
A000028,2024-06-30,0,1498.72
A000028,2024-07-31,0,1412.82
A000028,2024-08-31,0,1338.59
A000028,2024-09-30,0,1207.35
A000028,2024-10-31,0,1375.47
A000028,2024-11-30,0,1483.57
A000028,2024-12-31,0,1552.06
A000028,2025-01-31,0,1349.91
A000028,2025-02-28,0,1462.85
A000028,2025-03-31,0,1575.07
A000028,2025-04-30,0,1413.21
A000028,2025-05-31,0,1486.9
A000028,2025-06-30,0,1394.57
A000028,2025-07-31,0,1543.12
A000028,2025-08-31,0,1487.96
A000028,2025-09-30,0,1425.21
A000028,2025-10-31,0,1371.48
A000028,2025-11-30,0,1449.72
A000028,2025-12-31,0,1442.31
A000029,2025-02-28,0,4589.34
A000029,2025-03-31,0,3957.93
A000029,2025-04-30,0,4745.42
A000029,2025-05-31,0,5187.78
A000029,2025-06-30,0,4386.57
A000029,2025-07-31,0,4416.36
A000029,2025-08-31,0,5334.54
A000029,2025-09-30,0,4543.9
A000029,2025-10-31,0,3928.64
A000029,2025-11-30,0,5050.4
A000029,2025-12-31,0,4949.48
A000030,2024-03-31,0,2313.21
A000030,2024-04-30,0,2249.18
A000030,2024-05-31,0,2206.52
A000030,2024-06-30,0,2375.15
A000030,2024-07-31,0,2424.73
A000030,2024-08-31,0,2317.72
A000030,2024-09-30,0,2340.99
A000030,2024-10-31,0,2388.23
A000030,2024-11-30,0,2164.95
A000030,2024-12-31,0,2188.61
A000030,2025-01-31,0,1999.76
A000030,2025-02-28,0,2102.76
A000030,2025-03-31,0,2627.66
A000030,2025-04-30,0,2239.26
A000030,2025-05-31,0,2371.41
A000030,2025-06-30,0,2208.27
A000030,2025-07-31,0,2312.04
A000030,2025-08-31,0,2279.88
A000030,2025-09-30,0,2278.19
A000030,2025-10-31,0,2365.68
A000030,2025-11-30,0,2563.84
A000030,2025-12-31,0,2188.81
A000031,2024-04-30,0,1224.08
A000031,2024-05-31,0,1378.95
A000031,2024-06-30,0,1429.97
A000031,2024-07-31,0,1369.49
A000031,2024-08-31,0,1327.28
A000031,2024-09-30,0,1339.34
A000031,2024-10-31,0,1243.25
A000031,2024-11-30,0,1252.19
A000031,2024-12-31,0,1411.41
A000031,2025-01-31,0,1472.33
A000031,2025-02-28,0,1329.74
A000031,2025-03-31,0,1251.13
A000031,2025-04-30,0,1467.43
A000031,2025-05-31,0,1313.53
A000031,2025-06-30,0,1443.67
A000031,2025-07-31,0,1232.87
A000031,2025-08-31,0,1322.74
A000031,2025-09-30,0,1299.52
A000031,2025-10-31,0,1181.84
A000031,2025-11-30,0,1375.42
A000031,2025-12-31,0,1305.81
A000032,2024-01-31,0,2183.29
A000032,2024-02-29,0,2075.17
A000032,2024-03-31,0,2564.26
A000032,2024-04-30,0,2104.2
A000032,2024-05-31,0,2133.8
A000032,2024-06-30,0,2144.56
A000032,2024-07-31,0,2350.73
A000032,2024-08-31,0,2077.45
A000032,2024-09-30,0,2199.38
A000032,2024-10-31,0,1966.24
A000032,2024-11-30,0,2095.25
A000032,2024-12-31,0,2471.08
A000032,2025-01-31,0,2151.39
A000032,2025-02-28,0,2464.48
A000032,2025-03-31,0,2246.69
A000032,2025-04-30,0,2405.52
A000032,2025-05-31,0,2081.8
A000032,2025-06-30,0,2177.35
A000032,2025-07-31,0,2164.83
A000032,2025-08-31,0,2197.66
A000032,2025-09-30,0,2295.94
A000032,2025-10-31,0,2468.93
A000032,2025-11-30,0,2396.69
A000032,2025-12-31,0,2042.72
A000033,2024-11-30,0,10102.3
A000033,2024-12-31,0,10258.92
A000033,2025-01-31,0,8647.05
A000033,2025-02-28,0,9489.73
A000033,2025-03-31,0,8679.99
A000033,2025-04-30,0,9873.57
A000033,2025-05-31,0,8206.22
A000033,2025-06-30,0,8857.46
A000033,2025-07-31,0,9548.38
A000033,2025-08-31,0,9497.27
A000033,2025-09-30,0,8955.39
A000033,2025-10-31,0,9094.19
A000033,2025-11-30,0,7848.6
A000033,2025-12-31,0,9652.3
A000034,2024-10-31,0,28615.27
A000034,2024-11-30,0,23595.32
A000034,2024-12-31,0,26438.54
A000034,2025-01-31,0,25711.55
A000034,2025-02-28,0,25739.62
A000034,2025-03-31,0,27439.36
A000034,2025-04-30,0,28159.5
A000034,2025-05-31,0,25801.17
A000034,2025-06-30,0,25908.88
A000034,2025-07-31,0,23839.42
A000034,2025-08-31,0,22709.06
A000034,2025-09-30,0,27969.83
A000034,2025-10-31,0,28424.35
A000034,2025-11-30,0,27150.88
A000034,2025-12-31,0,28804.77
A000035,2025-01-31,0,11732.62
A000035,2025-02-28,0,10418.71
A000035,2025-03-31,0,12982.75
A000035,2025-04-30,0,11490.49
A000035,2025-05-31,0,12639.77
A000035,2025-06-30,0,12861.24
A000035,2025-07-31,0,11849.7
A000035,2025-08-31,0,11843.78
A000035,2025-09-30,0,12225.85
A000035,2025-10-31,0,12696.61
A000035,2025-11-30,0,10968.64
A000035,2025-12-31,0,11910.56
A000036,2024-12-31,0,21132.39
A000036,2025-01-31,0,21310.47
A000036,2025-02-28,0,24679.62
A000036,2025-03-31,0,21071.45
A000036,2025-04-30,0,21728.26
A000036,2025-05-31,0,21155.54
A000036,2025-06-30,0,21922.47
A000036,2025-07-31,0,19862.37
A000036,2025-08-31,0,22073.74
A000036,2025-09-30,0,23080.53
A000036,2025-10-31,0,22287.47
A000036,2025-11-30,0,22940.04
A000036,2025-12-31,0,22427.03
A000037,2024-01-31,0,15664.07
A000037,2024-02-29,0,15898.14
A000037,2024-03-31,0,16218.95
A000037,2024-04-30,0,15835.42
A000037,2024-05-31,0,15105.93
A000037,2024-06-30,0,17706.02
A000037,2024-07-31,0,15109.95
A000037,2024-08-31,0,15956.7
A000037,2024-09-30,0,15272.88
A000037,2024-10-31,0,15148.47
A000037,2024-11-30,0,15772.83
A000037,2024-12-31,0,14442.97
A000037,2025-01-31,0,17913.33
A000037,2025-02-28,30,16370.78
A000037,2025-03-31,0,13397.12
A000037,2025-04-30,0,15564.19
A000037,2025-05-31,0,15407.69
A000037,2025-06-30,0,14563.07
A000037,2025-07-31,0,16401.09
A000037,2025-08-31,0,16523.35
A000037,2025-09-30,0,15396.09
A000037,2025-10-31,0,14892.49
A000037,2025-11-30,0,14603.26
A000037,2025-12-31,0,16250.91
A000038,2024-01-31,0,1788.78
A000038,2024-02-29,0,1823.56
A000038,2024-03-31,0,1887.59
A000038,2024-04-30,0,1563.08
A000038,2024-05-31,0,1668.24
A000038,2024-06-30,0,1789.81
A000038,2024-07-31,0,1774.86
A000038,2024-08-31,0,1983.6
A000038,2024-09-30,0,2105.18
A000038,2024-10-31,0,1741.0
A000038,2024-11-30,0,1945.07
A000038,2024-12-31,0,1939.63
A000038,2025-01-31,0,1872.98
A000038,2025-02-28,0,1648.63
A000038,2025-03-31,0,1874.0
A000038,2025-04-30,0,1785.27
A000038,2025-05-31,0,2022.04
A000038,2025-06-30,0,1793.09
A000038,2025-07-31,0,1788.44
A000038,2025-08-31,0,1823.91
A000038,2025-09-30,0,1866.56
A000038,2025-10-31,0,1732.47
A000038,2025-11-30,0,1657.64
A000038,2025-12-31,0,1938.5
A000039,2024-05-31,0,4157.0
A000039,2024-06-30,0,4161.03
A000039,2024-07-31,0,4399.98
A000039,2024-08-31,0,4188.48
A000039,2024-09-30,0,5046.2
A000039,2024-10-31,0,4155.74
A000039,2024-11-30,0,4289.66
A000039,2024-12-31,0,4716.7
A000039,2025-01-31,0,4289.97
A000039,2025-02-28,0,4785.64
A000039,2025-03-31,0,4524.04
A000039,2025-04-30,0,3842.84
A000039,2025-05-31,0,4411.26
A000039,2025-06-30,0,4154.19
A000039,2025-07-31,0,4741.35
A000039,2025-08-31,0,4084.09
A000039,2025-09-30,0,3992.4
A000039,2025-10-31,0,4450.56
A000039,2025-11-30,0,4321.96
A000039,2025-12-31,0,4159.85
A000040,2024-09-30,0,8667.91
A000040,2024-10-31,0,8283.8
A000040,2024-11-30,0,7903.61
A000040,2024-12-31,0,8351.73
A000040,2025-01-31,0,8829.09
A000040,2025-02-28,0,10606.03
A000040,2025-03-31,0,8906.74
A000040,2025-04-30,0,10182.8
A000040,2025-05-31,0,8222.84
A000040,2025-06-30,0,9419.44
A000040,2025-07-31,0,9009.5
A000040,2025-08-31,0,9702.62
A000040,2025-09-30,0,8477.12
A000040,2025-10-31,0,8625.33
