application_id,customer_record_id,application_date,requested_limit,annual_revenue,years_in_business,industry
APP000029,C000013,2025-02-25,8133.67,31712.26,4.0,Manufacturing
APP000030,C000013,2024-03-06,6326.02,30937.05,3.7,Healthcare
APP000031,C000014,2024-03-20,6303.97,25000.0,4.3,Automotive
APP000032,C000014,2023-12-25,5659.97,25000.0,4.6,Automotive
APP000033,C000015,2024-11-10,13970.96,184981.47,7.3,Healthcare
APP000034,C000015,2024-09-21,50301.24,212343.91,8.1,Wholesale
APP000035,C000015,2025-01-02,18819.41,212364.83,7.9,Transportation
APP000036,C000015,2024-12-02,35223.41,170305.68,8.2,Energy
APP000037,C000015,2023-08-12,25047.9,206579.09,8.1,Retail
APP000038,C000016,2023-08-25,14187.11,113057.68,4.2,Professional Services
APP000039,C000016,2024-05-24,28750.56,110567.33,4.1,Automotive
APP000040,C000016,2024-09-18,17682.28,101934.63,3.4,Transportation
APP000041,C000017,2024-01-22,3000.0,25000.0,6.5,Professional Services
APP000042,C000017,2023-11-13,5033.37,25000.0,6.0,Wholesale
APP000043,C000017,2023-08-03,3000.0,25000.0,5.2,Construction
APP000044,C000019,2023-11-11,11614.22,94267.2,13.0,Healthcare
APP000045,C000019,2023-03-23,5665.15,83098.2,12.8,Healthcare
APP000046,C000019,2023-11-21,11734.19,86248.42,13.2,Retail
APP000047,C000019,2023-02-10,12284.08,79488.45,13.0,Automotive
APP000048,C000020,2024-09-24,24507.15,126197.09,2.3,Professional Services
APP000049,C000020,2023-03-22,39837.02,144649.01,2.5,Professional Services
APP000050,C000020,2024-08-10,23950.63,144262.89,1.9,Construction
APP000051,C000020,2023-09-29,16916.18,124603.58,2.7,Manufacturing
APP000052,C000021,2023-02-24,4549.47,27318.14,1.7,Wholesale
APP000053,C000022,2024-09-26,23411.45,132863.52,6.7,Automotive
APP000054,C000022,2023-07-29,35035.99,158776.92,6.0,Food Services
APP000055,C000023,2024-03-20,7127.44,47638.13,11.9,Transportation
APP000056,C000023,2023-03-23,11379.52,45282.0,11.4,Wholesale
APP000057,C000023,2024-04-13,4797.26,49926.3,11.3,Construction
APP000058,C000023,2023-07-08,16298.22,58824.23,11.3,Food Services
APP000059,C000024,2024-01-14,15519.34,204911.69,5.0,Construction
APP000060,C000024,2024-09-09,42451.01,181868.27,5.1,Professional Services
APP000061,C000025,2023-05-06,17289.89,132301.5,1.2,Transportation
APP000062,C000025,2024-02-01,23252.01,131707.58,1.7,Automotive
APP000063,C000025,2024-01-28,16033.43,138619.38,1.4,Wholesale
APP000064,C000025,2023-07-12,14366.3,117485.55,1.7,Wholesale
APP000065,C000027,2023-12-16,6292.82,56812.17,5.2,Energy
APP000066,C000027,2024-10-10,13962.3,57102.12,5.6,Transportation
APP000067,C000027,2024-06-24,10518.08,61767.8,5.4,Energy
APP000068,C000026,2024-07-12,7318.95,55888.86,5.6,Transportation
APP000069,C000028,2024-04-01,41846.67,171492.66,3.0,Healthcare
APP000070,C000028,2024-10-08,40106.22,160535.79,2.6,Transportation
APP000071,C000028,2024-11-14,40895.81,160591.47,2.0,Professional Services
APP000072,C000029,2024-04-20,16062.56,161548.39,4.5,Transportation
APP000073,C000030,2023-09-26,5125.07,26915.29,3.6,Construction
APP000074,C000031,2024-10-02,3000.0,25013.52,4.3,Manufacturing
APP000075,C000034,2025-02-06,9182.22,67022.79,15.6,Retail
APP000076,C000034,2024-10-11,13223.0,57161.86,16.0,Healthcare
APP000077,C000035,2025-02-05,3220.43,25828.06,3.6,Wholesale
APP000078,C000035,2023-10-24,3849.76,28260.71,3.7,Professional Services
APP000079,C000035,2023-03-25,4171.71,25000.0,3.3,Professional Services
APP000080,C000036,2023-02-18,6741.54,25000.0,4.1,Professional Services
APP000081,C000036,2024-01-20,6306.25,25000.0,3.7,Food Services
APP000082,C000036,2024-03-04,3000.0,25000.0,3.7,Retail
APP000083,C000038,2024-07-08,30340.6,163145.75,6.9,Retail
APP000084,C000038,2023-09-11,12114.64,176121.34,7.0,Energy
APP000085,C000039,2023-07-06,3374.76,61816.58,3.1,Healthcare
APP000086,C000039,2024-08-31,16118.61,68516.46,2.8,Wholesale
APP000087,C000040,2023-03-01,6623.89,131072.72,1.3,Transportation
APP000088,C000040,2024-01-05,18901.81,120997.81,1.3,Energy
APP000089,C000040,2024-04-30,29265.3,131328.22,2.0,Healthcare
APP000090,C000041,2024-03-28,15534.21,69529.12,2.1,Manufacturing
APP000091,C000042,2023-11-21,45567.44,216581.9,7.0,Professional Services
APP000092,C000042,2024-01-28,63197.2,261412.08,7.2,Healthcare
APP000093,C000042,2025-02-10,49251.94,281444.07,7.2,Manufacturing
APP000094,C000043,2023-11-30,11133.0,84361.9,5.3,Transportation
APP000095,C000043,2023-02-20,6682.28,71625.33,5.8,Transportation
APP000096,C000043,2024-05-20,23949.12,94527.19,5.4,Construction
APP000097,C000043,2025-01-31,4491.87,82125.69,5.6,Food Services
APP000098,C000044,2024-05-07,30574.0,186137.54,2.8,Transportation
APP000099,C000045,2023-10-12,7510.17,116373.6,16.8,Transportation
APP000100,C000045,2024-11-11,14221.54,100025.63,16.8,Automotive
APP000101,C000045,2024-01-08,25128.45,111860.0,17.0,Transportation
APP000102,C000045,2023-11-26,5173.6,96049.19,16.9,Wholesale
APP000103,C000046,2024-02-26,3000.0,25000.0,3.2,Manufacturing
APP000104,C000046,2024-08-27,6297.21,25000.0,2.6,Healthcare
APP000105,C000046,2023-01-02,3881.94,25000.0,3.1,Automotive
APP000106,C000047,2024-03-25,7778.43,93746.56,3.2,Manufacturing
APP000107,C000048,2024-03-28,20130.14,85249.75,2.7,Professional Services
APP000108,C000049,2023-06-02,22096.12,140901.7,0.8,Transportation
APP000109,C000049,2023-07-22,7200.89,134301.71,0.6,Transportation
APP000110,C000049,2023-03-09,22787.03,132678.33,1.1,Transportation
APP000111,C000051,2024-02-19,25980.33,159102.39,10.0,Manufacturing
APP000112,C000051,2024-05-22,8713.98,169895.6,10.3,Energy
APP000113,C000051,2023-05-08,11009.2,145680.8,9.9,Healthcare
APP000114,C000051,2023-01-06,40491.1,174998.41,10.4,Healthcare
APP000115,C000051,2023-02-25,26627.82,151582.59,10.8,Retail
APP000116,C000053,2024-08-17,62813.03,274346.88,1.2,Transportation
APP000117,C000052,2024-12-14,57288.65,261960.87,1.0,Manufacturing
APP000118,C000053,2023-04-28,67477.61,280176.29,1.9,Retail
APP000119,C000054,2023-11-01,13707.28,49722.46,6.2,Food Services
APP000120,C000054,2023-12-18,5126.98,57593.3,5.7,Wholesale
APP000121,C000054,2024-08-12,4413.35,60604.51,5.9,Automotive
APP000122,C000054,2023-06-13,9321.85,63448.91,6.0,Construction
APP000123,C000054,2023-05-15,13530.61,55226.89,5.9,Retail
APP000124,C000055,2023-09-20,6616.08,70612.34,6.3,Food Services
APP000125,C000055,2023-03-07,6544.91,65110.94,6.0,Professional Services
APP000126,C000055,2023-03-30,13336.08,56442.44,5.7,Professional Services
APP000127,C000057,2024-12-10,6754.44,25000.0,2.1,Energy
APP000128,C000057,2024-01-19,6824.03,25000.0,2.0,Wholesale
APP000129,C000057,2023-10-28,3000.0,25000.0,2.3,Transportation
APP000130,C000058,2024-06-09,17643.89,76671.08,6.9,Automotive
APP000131,C000058,2023-12-20,22213.95,87396.13,7.7,Food Services
APP000132,C000059,2023-10-08,7014.24,73903.74,6.8,Automotive
APP000133,C000059,2023-11-28,6268.54,70445.83,6.6,Wholesale
APP000134,C000059,2025-01-21,13248.62,72512.35,7.4,Wholesale
APP000135,C000059,2025-01-03,3598.2,67723.03,7.2,Construction
APP000136,C000061,2023-11-24,41365.45,160235.95,5.7,Food Services
APP000137,C000060,2023-03-14,19355.91,168335.66,5.9,Retail
APP000138,C000062,2024-05-03,3000.0,25000.0,18.1,Food Services
APP000139,C000062,2024-08-29,4408.74,25000.0,17.3,Healthcare
APP000140,C000062,2023-06-04,6669.83,25000.0,17.5,Manufacturing
APP000141,C000062,2024-07-24,4414.53,25000.0,18.0,Manufacturing
APP000142,C000062,2024-08-18,3000.0,25000.0,17.6,Manufacturing
APP000143,C000063,2024-01-05,12072.71,92254.35,7.3,Construction
APP000144,C000063,2024-11-12,24359.76,87728.49,7.6,Retail
APP000145,C000063,2024-10-02,17008.68,90921.08,7.0,Construction
APP000146,C000064,2024-11-24,45395.36,196459.12,3.9,Retail
APP000147,C000064,2024-04-25,32956.11,211834.83,3.9,Automotive
APP000148,C000064,2024-10-10,32753.14,203311.11,2.7,Energy
APP000149,C000065,2023-08-06,4768.87,25000.0,7.2,Energy
APP000150,C000065,2023-01-15,5492.02,25000.0,7.5,Manufacturing
APP000151,C000065,2023-10-13,3000.0,25000.0,6.8,Transportation
APP000152,C000066,2024-09-21,8867.54,61797.13,3.8,Food Services
APP000153,C000066,2023-01-24,8007.96,64268.57,3.9,Food Services
APP000154,C000067,2023-05-08,42438.06,303373.22,4.4,Manufacturing
APP000155,C000067,2025-01-20,36637.56,327394.49,4.6,Healthcare
APP000156,C000067,2024-09-24,40612.48,319107.88,4.1,Wholesale
APP000157,C000068,2023-11-06,4135.66,63023.72,6.4,Automotive
APP000158,C000068,2024-02-07,13119.43,62171.79,5.6,Energy
APP000159,C000068,2024-12-20,5102.29,47069.25,6.3,Automotive
APP000160,C000069,2023-02-11,6653.27,25000.0,5.0,Professional Services
APP000161,C000069,2024-03-24,4255.45,25000.0,4.7,Retail
APP000162,C000069,2023-01-07,3325.35,25000.0,4.3,Energy
APP000163,C000069,2023-07-22,3000.0,25000.0,4.2,Construction
APP000164,C000070,2024-04-08,10100.09,74634.48,3.8,Healthcare
APP000165,C000072,2024-12-06,5175.26,74622.48,13.9,Manufacturing
APP000166,C000072,2024-07-22,14110.51,91166.44,13.2,Automotive
APP000167,C000072,2023-10-29,7005.79,76059.04,13.4,Food Services
APP000168,C000071,2023-01-05,15887.24,65108.64,13.4,Energy
APP000169,C000071,2023-04-14,5247.26,75366.36,13.3,Professional Services
APP000170,C000074,2023-12-25,38294.89,204967.69,2.5,Manufacturing
APP000171,C000074,2023-09-19,31330.72,189762.08,2.9,Energy
APP000172,C000073,2024-12-21,37271.37,175382.74,3.2,Construction
APP000173,C000076,2023-11-18,12340.64,107029.94,5.7,Energy
APP000174,C000075,2023-07-11,14464.65,117223.09,6.0,Healthcare
APP000175,C000077,2023-07-29,6906.28,25000.0,11.9,Automotive
APP000176,C000077,2023-03-18,6791.02,25000.0,12.0,Transportation
APP000177,C000078,2024-10-29,16976.42,98912.11,1.6,Food Services
APP000178,C000078,2023-07-08,16451.98,104234.47,1.7,Energy
APP000179,C000078,2025-01-06,15116.71,90368.19,0.9,Automotive
APP000180,C000078,2024-12-18,9528.6,87491.14,1.5,Manufacturing
APP000181,C000079,2024-02-22,7273.95,27781.31,1.0,Automotive
APP000182,C000079,2024-06-05,3000.0,25000.0,0.5,Transportation
APP000183,C000080,2024-11-25,7638.95,32202.34,5.5,Automotive
APP000184,C000081,2023-02-20,3000.0,25000.0,1.5,Professional Services
APP000185,C000081,2024-05-23,3000.0,25000.0,1.3,Construction
APP000186,C000081,2023-09-22,5799.65,25000.0,1.7,Manufacturing
APP000187,C000082,2024-05-15,5098.48,91665.32,17.6,Transportation
APP000188,C000083,2023-04-16,6603.44,49126.36,3.7,Automotive
APP000189,C000084,2024-05-06,3788.54,27849.69,2.8,Professional Services
APP000190,C000084,2024-07-06,5340.66,33410.06,2.7,Automotive
APP000191,C000084,2023-12-26,5762.59,34067.19,2.2,Healthcare
APP000192,C000084,2023-10-31,7342.33,32781.54,2.4,Professional Services
APP000193,C000084,2024-02-17,3000.0,32158.22,2.9,Automotive
APP000194,C000085,2023-04-05,16546.51,66551.44,9.1,Wholesale
APP000195,C000085,2023-05-28,12392.62,59963.14,9.1,Manufacturing
APP000196,C000085,2023-12-13,4285.95,60687.2,8.4,Professional Services
APP000197,C000086,2023-08-19,5920.86,73480.82,3.7,Wholesale
APP000198,C000087,2024-07-05,5478.78,25000.0,1.4,Retail
APP000199,C000087,2024-12-10,6779.48,25000.0,1.4,Retail
APP000200,C000087,2023-12-08,3460.27,25000.0,1.4,Automotive
APP000201,C000090,2024-01-14,34165.39,125461.36,4.1,Professional Services
APP000202,C000091,2024-01-06,6333.21,35547.85,4.6,Transportation
APP000203,C000091,2023-07-20,3000.0,32676.04,4.8,Retail
APP000204,C000091,2024-08-04,8725.82,37279.85,4.8,Food Services
APP000205,C000091,2023-04-05,4295.66,32950.27,4.8,Food Services
APP000206,C000094,2025-01-20,27250.64,103005.86,10.6,Healthcare
APP000207,C000094,2023-12-22,13329.66,102924.28,10.3,Retail
APP000208,C000093,2024-06-01,25320.65,95445.2,10.0,Manufacturing
APP000209,C000097,2024-10-29,7345.11,27141.54,6.2,Retail
APP000210,C000097,2023-07-12,3000.0,28690.87,6.3,Manufacturing
APP000211,C000098,2024-12-10,4189.28,25000.0,4.5,Transportation
APP000212,C000098,2025-02-18,3000.0,25000.0,4.3,Energy
APP000213,C000098,2023-03-07,6841.25,25000.0,4.2,Food Services
APP000214,C000098,2025-01-18,3466.44,25000.0,4.0,Automotive
APP000215,C000098,2023-03-07,3000.0,25000.0,5.0,Healthcare
APP000216,C000099,2024-10-07,15524.3,90895.69,10.6,Manufacturing
APP000217,C000099,2024-04-17,4805.29,84446.13,10.4,Food Services
APP000218,C000100,2024-11-10,3407.84,43533.4,3.4,Energy
APP000219,C000100,2025-02-04,3000.0,41385.95,3.5,Wholesale
APP000220,C000100,2025-01-19,4371.37,49855.85,3.0,Energy
APP000221,C000101,2024-09-15,6754.15,26562.9,0.1,Automotive
APP000222,C000101,2023-11-11,3102.83,25000.0,0.6,Energy
APP000223,C000103,2023-10-05,6888.36,26618.58,3.5,Transportation
APP000224,C000103,2024-01-31,5780.25,29062.09,4.0,Energy
APP000225,C000103,2023-07-30,3588.48,28244.98,3.5,Food Services
APP000226,C000104,2024-12-05,13980.44,80968.06,24.2,Healthcare
APP000227,C000104,2023-04-03,9833.22,78729.24,24.7,Energy
APP000228,C000104,2023-09-25,25185.68,95932.11,24.1,Wholesale
APP000229,C000104,2025-02-18,6657.64,90478.7,24.6,Transportation
APP000230,C000104,2025-01-20,7408.28,86993.28,24.1,Wholesale
APP000231,C000105,2024-10-23,12214.37,55563.84,5.7,Energy
APP000232,C000105,2024-10-25,14639.91,57877.93,5.8,Wholesale
APP000233,C000105,2024-07-24,12929.1,67129.11,5.6,Wholesale
APP000234,C000105,2023-04-04,16921.1,65554.05,6.1,Energy
APP000235,C000105,2023-08-15,6999.65,59812.49,5.8,Manufacturing
APP000236,C000106,2024-05-17,3000.0,36804.53,8.2,Construction
APP000237,C000106,2024-06-01,3000.0,38307.61,8.4,Construction
APP000238,C000106,2024-09-28,10150.3,40143.68,7.9,Energy
APP000239,C000107,2024-02-02,4030.34,25000.0,0.8,Energy
APP000240,C000108,2024-04-27,4676.22,25000.0,2.5,Construction
APP000241,C000108,2024-04-12,4164.93,26449.61,2.1,Energy
APP000242,C000109,2023-07-26,11216.78,67658.6,3.7,Manufacturing
APP000243,C000110,2023-05-05,7883.61,59657.92,11.8,Construction
APP000244,C000110,2023-01-04,15479.37,64196.34,12.0,Healthcare
APP000245,C000111,2023-06-30,24840.71,104577.66,2.7,Manufacturing
APP000246,C000111,2024-09-11,13021.8,99372.84,3.0,Energy
APP000247,C000111,2024-06-28,25130.36,103911.79,2.8,Construction
APP000248,C000111,2024-03-17,18580.42,115249.18,3.3,Transportation
APP000249,C000112,2024-05-28,5881.04,58226.39,2.3,Energy
APP000250,C000113,2024-06-29,19192.67,70558.12,6.5,Professional Services
APP000251,C000114,2023-03-27,13560.67,60448.7,6.6,Food Services
APP000252,C000114,2024-06-06,9914.06,64839.88,6.5,Energy
APP000253,C000113,2023-08-09,4416.74,52870.16,6.1,Wholesale
APP000254,C000115,2023-06-15,34748.72,157414.13,5.6,Wholesale
APP000255,C000115,2024-11-17,10402.61,166396.79,5.8,Automotive
APP000256,C000115,2023-02-24,39530.24,166331.9,6.1,Retail
APP000257,C000116,2024-01-05,3000.0,25353.84,3.1,Food Services
APP000258,C000116,2023-02-07,3000.0,25000.0,3.0,Automotive
APP000259,C000116,2024-08-24,6271.29,25420.91,2.7,Healthcare
APP000260,C000117,2023-09-30,4178.86,28067.8,4.3,Transportation
APP000261,C000117,2023-08-26,3000.0,34484.41,4.0,Transportation
APP000262,C000117,2023-05-10,3000.0,28195.17,5.2,Automotive
APP000263,C000118,2024-05-28,15232.93,68396.8,7.1,Construction
APP000264,C000119,2025-02-06,3000.0,25000.0,5.9,Construction
APP000265,C000121,2024-06-02,51035.16,188986.21,4.4,Professional Services
APP000266,C000121,2024-11-13,34914.82,188140.47,4.7,Professional Services
APP000267,C000122,2024-12-09,6340.37,40996.74,7.2,Food Services
APP000268,C000122,2023-03-16,3325.31,49605.61,7.1,Manufacturing
APP000269,C000122,2023-06-08,10477.0,47303.46,7.2,Healthcare
APP000270,C000124,2023-04-14,3000.0,41511.2,1.0,Retail
APP000271,C000124,2024-02-18,11148.68,40447.63,1.2,Automotive
APP000272,C000125,2025-02-16,11124.67,43955.94,0.8,Healthcare
APP000273,C000125,2025-01-05,6921.52,50851.19,0.1,Energy
APP000274,C000125,2025-02-18,7045.75,45756.2,0.8,Healthcare
APP000275,C000125,2023-01-04,12712.52,51282.9,1.0,Retail
APP000276,C000125,2024-07-10,5279.72,45551.82,0.6,Automotive
APP000277,C000126,2023-03-03,4992.16,69702.0,8.4,Healthcare
APP000278,C000126,2023-08-29,5870.36,62968.22,8.8,Transportation
APP000279,C000126,2023-04-25,9607.02,63775.91,8.6,Automotive
APP000280,C000126,2024-06-10,15504.82,68101.41,8.6,Energy
APP000281,C000127,2024-02-16,7250.82,33342.65,2.7,Professional Services
APP000282,C000127,2024-07-22,9300.12,38706.45,2.6,Construction
APP000283,C000128,2023-03-17,5818.37,25000.0,11.3,Automotive
APP000284,C000128,2024-09-09,3000.0,25000.0,11.5,Healthcare
APP000285,C000128,2024-04-04,4455.48,25268.04,11.3,Transportation
APP000286,C000129,2023-06-05,38120.3,159962.74,3.0,Manufacturing
APP000287,C000129,2024-03-08,19233.76,143672.18,2.7,Automotive
APP000288,C000129,2023-07-24,27414.2,166676.67,3.0,Retail
APP000289,C000130,2024-11-21,3000.0,25000.0,2.6,Wholesale
APP000290,C000130,2023-10-09,5771.69,25000.0,2.7,Automotive
APP000291,C000131,2023-03-29,21429.76,101090.62,5.0,Food Services
APP000292,C000132,2024-01-31,13292.6,81074.52,4.4,Healthcare
APP000293,C000132,2023-02-14,9430.43,105576.41,4.6,Energy
APP000294,C000133,2023-08-24,4921.56,56408.5,11.9,Professional Services
APP000295,C000133,2023-09-25,7734.24,65734.48,11.5,Construction
APP000296,C000134,2025-01-05,8003.3,30279.32,7.6,Professional Services
APP000297,C000134,2024-07-09,5011.21,26429.38,7.3,Construction
APP000298,C000134,2023-07-23,6243.24,28808.63,8.0,Professional Services
APP000299,C000134,2024-01-14,4918.86,26272.36,7.1,Professional Services
APP000300,C000135,2024-02-12,11398.87,71258.29,4.7,Wholesale
APP000301,C000135,2023-07-21,5776.09,74093.45,4.8,Automotive
APP000302,C000135,2023-08-26,4734.49,62354.39,4.6,Construction
APP000303,C000137,2024-10-24,6199.36,51851.18,4.2,Manufacturing
APP000304,C000136,2023-05-23,15089.95,57701.47,4.4,Construction
APP000305,C000137,2024-10-22,12123.08,55355.14,4.0,Food Services
APP000306,C000137,2025-01-04,6736.65,55241.76,4.7,Wholesale
APP000307,C000138,2023-04-18,11329.75,63715.07,4.2,Construction
APP000308,C000138,2023-05-23,4858.09,63923.5,4.0,Wholesale
APP000309,C000139,2024-12-09,4842.87,95992.29,3.5,Wholesale
APP000310,C000139,2024-12-20,12486.17,97281.32,3.8,Transportation
APP000311,C000139,2023-09-28,19306.6,88009.38,3.5,Construction
APP000312,C000140,2023-03-09,16919.92,66706.33,11.7,Energy
APP000313,C000140,2024-03-23,9654.93,72592.58,11.5,Retail
APP000314,C000140,2024-07-13,16146.2,71199.9,10.8,Retail
APP000315,C000140,2024-09-07,8051.16,60849.98,11.0,Transportation
APP000316,C000140,2024-09-10,15018.6,59342.69,11.4,Construction
APP000317,C000142,2023-02-03,7465.77,28495.58,17.4,Professional Services
APP000318,C000142,2024-08-30,7599.45,33568.61,17.3,Food Services
APP000319,C000143,2024-12-06,19166.26,80731.67,1.8,Professional Services
APP000320,C000144,2023-07-21,13197.05,99091.85,1.4,Wholesale
APP000321,C000146,2023-03-12,3299.52,25014.81,2.2,Manufacturing
APP000322,C000146,2024-12-21,3496.35,26032.8,2.9,Construction
APP000323,C000146,2024-05-05,6937.36,25000.0,2.8,Transportation
APP000324,C000149,2023-07-28,15382.85,136304.87,3.2,Transportation
APP000325,C000149,2023-05-22,7609.24,143029.2,3.8,Wholesale
APP000326,C000148,2024-08-19,23310.21,143461.05,3.4,Energy
APP000327,C000149,2023-08-19,15072.92,148364.08,3.6,Transportation
APP000328,C000150,2023-11-24,5414.39,104206.26,3.1,Food Services
APP000329,C000150,2023-07-29,24059.03,128958.31,1.8,Manufacturing
APP000330,C000150,2023-02-17,17141.3,131646.11,2.6,Energy
APP000331,C000151,2024-11-05,11579.58,74869.04,5.7,Transportation
APP000332,C000151,2023-08-17,13602.28,71344.12,6.5,Healthcare
APP000333,C000152,2024-05-14,42360.77,265907.15,2.5,Retail
APP000334,C000152,2024-08-06,25330.92,282757.18,3.5,Professional Services
APP000335,C000152,2024-05-23,28894.66,275595.53,3.4,Retail
APP000336,C000152,2023-07-13,24194.9,285160.51,3.5,Food Services
APP000337,C000152,2024-09-26,73872.38,279217.22,3.8,Food Services
APP000338,C000153,2023-12-25,8690.25,37497.49,5.7,Healthcare
APP000339,C000153,2023-04-26,7481.86,37764.44,5.5,Automotive
APP000340,C000153,2024-03-03,7627.88,36927.58,6.0,Construction
APP000341,C000154,2023-04-06,4968.51,80076.42,7.6,Automotive
APP000342,C000154,2025-01-13,3771.79,66125.3,7.5,Construction
APP000343,C000157,2024-06-16,15424.9,197351.72,3.9,Healthcare
APP000344,C000156,2025-02-04,12864.47,214903.06,3.8,Transportation
APP000345,C000157,2023-02-11,17974.04,220456.46,3.0,Transportation
APP000346,C000158,2025-02-15,58990.34,285678.47,7.8,Professional Services
APP000347,C000158,2024-01-14,89411.83,365977.66,7.8,Transportation
APP000348,C000159,2024-11-04,4886.51,29048.9,2.2,Food Services
APP000349,C000160,2023-09-04,35916.06,191803.11,0.4,Professional Services
APP000350,C000161,2023-01-24,4444.89,74539.36,1.4,Manufacturing
APP000351,C000161,2024-08-20,5361.92,97813.77,1.2,Construction
APP000352,C000162,2023-11-16,9887.61,73559.71,1.3,Retail
APP000353,C000162,2023-10-29,13266.47,76072.81,1.5,Retail
APP000354,C000162,2024-09-16,12131.41,75396.77,1.3,Automotive
APP000355,C000162,2024-09-01,10782.74,82018.26,1.2,Healthcare
APP000356,C000162,2024-12-16,5601.53,77566.1,1.7,Professional Services
APP000357,C000163,2023-08-09,14905.01,91121.06,7.1,Professional Services
APP000358,C000163,2023-04-30,23858.96,91689.2,6.4,Automotive
APP000359,C000163,2023-03-05,11244.15,106603.93,7.6,Retail
APP000360,C000163,2024-01-02,13006.53,85138.26,7.4,Energy
APP000361,C000163,2023-08-29,5844.02,90227.88,7.2,Manufacturing
APP000362,C000164,2023-07-13,53711.22,366640.67,6.3,Construction
APP000363,C000164,2023-12-09,117831.09,437703.28,5.8,Manufacturing
APP000364,C000164,2024-08-07,70414.47,424870.12,5.8,Automotive
APP000365,C000164,2023-05-05,92343.42,490852.52,5.7,Automotive
APP000366,C000165,2023-04-22,86117.55,319722.32,6.1,Transportation
APP000367,C000165,2025-03-06,45741.12,285589.38,6.1,Manufacturing
APP000368,C000165,2024-02-13,17729.05,291814.39,6.1,Professional Services
APP000369,C000165,2024-06-17,67027.19,303179.44,6.6,Retail
APP000370,C000165,2024-05-05,52234.76,256063.45,6.6,Energy
APP000371,C000167,2024-12-15,32276.26,138244.83,3.3,Food Services
APP000372,C000166,2024-02-10,11100.22,139745.31,4.2,Transportation
APP000373,C000168,2024-10-19,4632.43,72918.31,5.7,Construction
APP000374,C000168,2023-12-29,16898.67,70707.82,5.3,Professional Services
APP000375,C000168,2023-10-09,20849.31,81438.51,5.7,Automotive
APP000376,C000169,2024-12-06,33472.77,165844.76,1.7,Construction
APP000377,C000169,2024-11-11,14630.53,175070.99,1.6,Professional Services
APP000378,C000170,2023-12-25,14245.02,119801.97,4.1,Transportation
APP000379,C000170,2024-06-14,12170.87,108095.28,3.9,Healthcare
APP000380,C000170,2024-07-08,6624.68,103211.19,4.1,Healthcare
APP000381,C000172,2024-07-10,11183.72,112400.64,5.9,Professional Services
APP000382,C000173,2023-11-10,4461.36,74480.49,4.2,Construction
APP000383,C000173,2024-12-05,9440.51,64221.1,3.8,Automotive
APP000384,C000173,2024-06-10,6457.97,72997.23,3.8,Food Services
APP000385,C000175,2024-11-18,25587.1,112010.02,7.4,Retail
APP000386,C000174,2024-10-12,9355.52,122676.12,7.3,Energy
APP000387,C000174,2023-07-27,22126.17,119616.68,7.7,Retail
APP000388,C000174,2024-08-27,13859.38,120624.23,7.6,Manufacturing
APP000389,C000174,2024-05-24,21188.3,114618.97,7.1,Manufacturing
APP000390,C000176,2023-01-23,5203.52,25000.0,11.1,Energy
APP000391,C000176,2024-01-21,6926.54,25000.0,10.9,Professional Services
APP000392,C000176,2024-01-02,3449.76,25000.0,11.3,Retail
APP000393,C000177,2023-09-09,9241.33,85638.32,4.3,Energy
APP000394,C000177,2023-10-19,6034.87,96178.47,4.5,Wholesale
APP000395,C000177,2023-07-20,9580.59,101008.03,4.3,Manufacturing
