account_id,score_date,vendor_risk_score,vendor_risk_band
A000198,2025-01-31,466.3,E
A000199,2025-01-31,544.7,E
A000200,2025-01-31,581.1,D
A000201,2025-01-31,673.3,C
A000202,2025-01-31,650.5,C
A000203,2025-01-31,712.7,B
A000204,2025-01-31,601.0,D
A000205,2025-01-31,657.0,C
A000206,2025-01-31,741.9,A
A000207,2025-01-31,701.8,B
A000208,2025-01-31,663.5,C
A000209,2025-01-31,789.6,A
A000210,2025-01-31,679.2,C
A000211,2025-01-31,598.5,D
A000212,2025-01-31,614.8,D
A000213,2025-01-31,669.9,C
A000214,2025-01-31,667.7,C
A000215,2025-01-31,705.9,B
A000216,2025-01-31,604.7,D
A000217,2025-01-31,722.3,B
A000218,2025-01-31,619.9,D
A000219,2025-01-31,627.0,C
A000220,2025-01-31,681.5,B
A000221,2025-01-31,684.2,B
A000222,2025-01-31,647.7,C
A000223,2025-01-31,750.4,A
A000224,2025-01-31,683.6,B
A000225,2025-01-31,699.4,B
A000226,2025-01-31,725.1,B
A000227,2025-01-31,733.7,B
A000228,2025-01-31,704.6,B
A000229,2025-01-31,667.1,C
A000230,2025-01-31,740.9,A
A000231,2025-01-31,765.4,A
A000232,2025-01-31,730.0,B
A000233,2025-01-31,713.5,B
A000234,2025-01-31,802.2,A
A000235,2025-01-31,735.7,B
A000236,2025-01-31,583.8,D
A000237,2025-01-31,711.5,B
A000238,2025-01-31,598.8,D
A000239,2025-01-31,614.0,D
A000240,2025-01-31,539.9,E
A000241,2025-01-31,683.0,B
A000242,2025-01-31,699.5,B
A000243,2025-01-31,598.5,D
A000244,2025-01-31,535.6,E
A000245,2025-01-31,631.7,C
A000246,2025-01-31,743.5,A
A000247,2025-01-31,704.7,B
A000248,2025-01-31,684.6,B
A000249,2025-01-31,669.2,C
A000250,2025-01-31,699.9,B
A000251,2025-01-31,635.3,C
A000252,2025-01-31,690.1,B
A000253,2025-01-31,627.2,C
A000254,2025-01-31,648.6,C
A000255,2025-01-31,577.3,D
A000256,2025-01-31,649.3,C
A000257,2025-01-31,661.8,C
A000258,2025-01-31,691.5,B
A000259,2025-01-31,738.8,B
A000260,2025-01-31,730.2,B
A000261,2025-01-31,689.8,B
A000262,2025-01-31,769.5,A
A000263,2025-01-31,696.3,B
A000264,2025-01-31,595.3,D
A000265,2025-01-31,627.6,C
A000266,2025-01-31,618.0,D
A000267,2025-01-31,684.1,B
A000268,2025-01-31,650.7,C
A000269,2025-01-31,714.9,B
A000270,2025-01-31,684.1,B
A000271,2025-01-31,628.4,C
A000272,2025-01-31,665.5,C
A000273,2025-01-31,780.9,A
A000274,2025-01-31,660.2,C
A000275,2025-01-31,549.2,E
A000276,2025-01-31,548.4,E
A000277,2025-01-31,688.9,B
A000278,2025-01-31,663.7,C
A000279,2025-01-31,629.1,C
A000280,2025-01-31,690.1,B
A000281,2025-01-31,614.6,D
A000282,2025-01-31,641.8,C
A000283,2025-01-31,645.8,C
A000284,2025-01-31,655.6,C
A000285,2025-01-31,770.9,A
A000286,2025-01-31,722.5,B
A000287,2025-01-31,729.7,B
A000288,2025-01-31,767.6,A
A000289,2025-01-31,708.5,B
A000290,2025-01-31,567.6,D
A000291,2025-01-31,690.8,B
A000292,2025-01-31,731.9,B
A000293,2025-01-31,678.5,C
A000294,2025-01-31,683.7,B
A000295,2025-01-31,685.3,B
A000296,2025-01-31,645.2,C
A000297,2025-01-31,703.7,B
A000298,2025-01-31,658.7,C
A000299,2025-01-31,654.5,C
A000300,2025-01-31,671.7,C
A000301,2025-01-31,708.8,B
A000302,2025-01-31,649.2,C
A000303,2025-01-31,614.9,D
A000304,2025-01-31,556.0,E
A000305,2025-01-31,620.5,C
A000306,2025-01-31,598.2,D
A000307,2025-01-31,629.1,C
A000308,2025-01-31,659.9,C
A000309,2025-01-31,712.5,B
A000310,2025-01-31,607.9,D
A000311,2025-01-31,670.6,C
A000312,2025-01-31,693.1,B
A000313,2025-01-31,735.2,B
A000314,2025-01-31,751.6,A
A000315,2025-01-31,708.9,B
A000316,2025-01-31,653.2,C
A000317,2025-01-31,609.1,D
A000318,2025-01-31,602.7,D
A000319,2025-01-31,606.8,D
A000320,2025-01-31,634.9,C
A000321,2025-01-31,713.4,B
A000322,2025-01-31,621.7,C
A000323,2025-01-31,576.5,D
A000324,2025-01-31,694.2,B
A000325,2025-01-31,722.1,B
A000326,2025-01-31,667.4,C
A000327,2025-01-31,723.4,B
A000328,2025-01-31,747.5,A
A000329,2025-01-31,651.5,C
A000330,2025-01-31,663.7,C
A000331,2025-01-31,611.9,D
A000332,2025-01-31,696.3,B
A000333,2025-01-31,645.3,C
A000334,2025-01-31,647.4,C
A000335,2025-01-31,671.5,C
A000336,2025-01-31,701.3,B
A000337,2025-01-31,651.7,C
A000338,2025-01-31,661.5,C
A000339,2025-01-31,696.8,B
A000340,2025-01-31,599.4,D
A000341,2025-01-31,690.4,B
A000342,2025-01-31,640.7,C
A000343,2025-01-31,749.6,A
A000344,2025-01-31,754.5,A
A000345,2025-01-31,698.2,B
A000346,2025-01-31,684.0,B
A000347,2025-01-31,712.3,B
A000348,2025-01-31,757.9,A
A000349,2025-01-31,654.7,C
A000350,2025-01-31,743.5,A
A000351,2025-01-31,722.1,B
A000352,2025-01-31,705.8,B
A000353,2025-01-31,641.4,C
A000354,2025-01-31,583.4,D
A000355,2025-01-31,629.6,C
A000356,2025-01-31,527.9,E
A000357,2025-01-31,689.0,B
A000358,2025-01-31,724.1,B
A000359,2025-01-31,710.3,B
A000360,2025-01-31,693.5,B
A000361,2025-01-31,732.5,B
A000362,2025-01-31,634.1,C
A000363,2025-01-31,622.0,C
A000364,2025-01-31,682.4,B
A000365,2025-01-31,688.5,B
A000366,2025-01-31,627.0,C
A000367,2025-01-31,627.3,C
A000368,2025-01-31,708.7,B
A000369,2025-01-31,728.8,B
A000370,2025-01-31,669.6,C
A000371,2025-01-31,642.6,C
A000372,2025-01-31,698.3,B
A000373,2025-01-31,673.2,C
A000374,2025-01-31,675.3,C
A000375,2025-01-31,580.1,D
A000376,2025-01-31,699.1,B
A000377,2025-01-31,670.0,C
A000378,2025-01-31,745.6,A
A000379,2025-01-31,749.1,A
A000380,2025-01-31,704.7,B
A000381,2025-01-31,699.6,B
A000382,2025-01-31,687.4,B
A000383,2025-01-31,681.8,B
A000384,2025-01-31,663.2,C
A000385,2025-01-31,719.6,B
A000386,2025-01-31,705.6,B
A000387,2025-01-31,608.5,D
A000388,2025-01-31,641.2,C
A000389,2025-01-31,707.0,B
A000390,2025-01-31,696.5,B
A000391,2025-01-31,562.3,D
A000392,2025-01-31,572.0,D
A000393,2025-01-31,733.2,B
A000394,2025-01-31,529.0,E
A000395,2025-01-31,555.6,E
A000396,2025-01-31,660.2,C
A000397,2025-01-31,676.1,C
A000398,2025-01-31,591.8,D
A000399,2025-01-31,584.9,D
A000400,2025-01-31,717.7,B
A000401,2025-01-31,592.1,D
A000402,2025-01-31,641.5,C
A000403,2025-01-31,677.8,C
A000404,2025-01-31,651.8,C
A000405,2025-01-31,632.3,C
A000406,2025-01-31,784.5,A
A000407,2025-01-31,655.3,C
A000408,2025-01-31,771.4,A
A000409,2025-01-31,510.4,E
A000410,2025-01-31,606.7,D
A000411,2025-01-31,594.3,D
A000412,2025-01-31,641.7,C
A000413,2025-01-31,636.6,C
A000414,2025-01-31,676.8,C
A000415,2025-01-31,728.3,B
A000416,2025-01-31,616.8,D
A000417,2025-01-31,670.6,C
A000418,2025-01-31,614.7,D
A000419,2025-01-31,626.3,C
A000420,2025-01-31,740.3,A
A000421,2025-01-31,695.8,B
A000422,2025-01-31,650.1,C
A000423,2025-01-31,595.8,D
A000424,2025-01-31,647.8,C
A000425,2025-01-31,602.0,D
A000426,2025-01-31,592.3,D
A000427,2025-01-31,718.8,B
A000428,2025-01-31,747.0,A
A000429,2025-01-31,698.8,B
A000430,2025-01-31,850.0,A
A000431,2025-01-31,710.3,B
A000432,2025-01-31,734.0,B
A000433,2025-01-31,668.6,C
A000434,2025-01-31,712.6,B
A000435,2025-01-31,689.0,B
A000436,2025-01-31,619.6,D
A000437,2025-01-31,797.7,A
A000438,2025-01-31,754.4,A
A000439,2025-01-31,710.2,B
A000440,2025-01-31,681.0,B
A000441,2025-01-31,678.7,C
A000442,2025-01-31,687.6,B
A000443,2025-01-31,558.8,E
A000444,2025-01-31,645.4,C
A000445,2025-01-31,665.5,C
A000446,2025-01-31,614.9,D
A000447,2025-01-31,589.6,D
A000448,2025-01-31,717.3,B
A000449,2025-01-31,732.3,B
A000450,2025-01-31,506.8,E
A000451,2025-01-31,610.3,D
A000452,2025-01-31,561.3,D
A000453,2025-01-31,635.0,C
A000454,2025-01-31,756.0,A
A000455,2025-01-31,667.5,C
A000456,2025-01-31,713.4,B
A000457,2025-01-31,767.3,A
A000458,2025-01-31,648.5,C
A000459,2025-01-31,630.4,C
A000460,2025-01-31,713.8,B
A000461,2025-01-31,638.5,C
A000462,2025-01-31,666.2,C
A000463,2025-01-31,689.8,B
A000464,2025-01-31,653.0,C
A000465,2025-01-31,706.1,B
A000466,2025-01-31,659.3,C
A000467,2025-01-31,635.9,C
A000468,2025-01-31,639.3,C
A000469,2025-01-31,588.2,D
A000470,2025-01-31,692.4,B
A000471,2025-01-31,723.3,B
A000472,2025-01-31,756.0,A
A000473,2025-01-31,642.4,C
A000474,2025-01-31,669.3,C
A000475,2025-01-31,712.8,B
A000476,2025-01-31,647.5,C
A000477,2025-01-31,699.7,B
A000478,2025-01-31,629.5,C
A000479,2025-01-31,665.3,C
A000480,2025-01-31,659.4,C
A000481,2025-01-31,696.4,B
A000482,2025-01-31,687.7,B
A000483,2025-01-31,669.6,C
A000484,2025-01-31,732.3,B
A000485,2025-01-31,688.7,B
A000486,2025-01-31,701.9,B
A000487,2025-01-31,676.1,C
A000488,2025-01-31,654.5,C
A000489,2025-01-31,633.6,C
A000490,2025-01-31,511.0,E
A000491,2025-01-31,654.3,C
A000492,2025-01-31,726.4,B
A000493,2025-01-31,637.6,C
A000494,2025-01-31,591.4,D
A000495,2025-01-31,673.8,C
A000496,2025-01-31,625.9,C
A000497,2025-01-31,646.1,C
A000498,2025-01-31,730.7,B
A000499,2025-01-31,773.2,A
A000500,2025-01-31,628.1,C
A000501,2025-01-31,589.6,D
A000502,2025-01-31,684.1,B
A000503,2025-01-31,665.3,C
A000504,2025-01-31,642.6,C
A000505,2025-01-31,653.3,C
A000506,2025-01-31,650.1,C
A000507,2025-01-31,660.9,C
A000508,2025-01-31,599.1,D
A000509,2025-01-31,598.2,D
A000510,2025-01-31,626.1,C
A000511,2025-01-31,659.8,C
A000512,2025-01-31,638.9,C
A000513,2025-01-31,607.0,D
A000514,2025-01-31,718.9,B
A000515,2025-01-31,703.1,B
A000516,2025-01-31,687.5,B
A000517,2025-01-31,553.5,E
A000518,2025-01-31,693.1,B
A000519,2025-01-31,661.4,C
A000520,2025-01-31,731.0,B
A000521,2025-01-31,589.5,D
A000522,2025-01-31,558.8,E
A000523,2025-01-31,539.1,E
A000524,2025-01-31,707.6,B
A000525,2025-01-31,762.8,A
A000526,2025-01-31,541.3,E
A000527,2025-01-31,519.8,E
A000528,2025-01-31,634.4,C
A000529,2025-01-31,624.1,C
A000530,2025-01-31,671.2,C
A000531,2025-01-31,646.4,C
A000532,2025-01-31,625.4,C
A000533,2025-01-31,593.1,D
A000534,2025-01-31,633.9,C
A000535,2025-01-31,618.8,D
A000536,2025-01-31,572.9,D
A000537,2025-01-31,717.6,B
A000538,2025-01-31,630.1,C
A000539,2025-01-31,599.6,D
A000540,2025-01-31,609.6,D
A000541,2025-01-31,635.9,C
A000542,2025-01-31,697.4,B
A000543,2025-01-31,689.0,B
A000544,2025-01-31,684.6,B
A000545,2025-01-31,625.1,C
A000546,2025-01-31,694.0,B
A000547,2025-01-31,718.3,B
A000548,2025-01-31,583.4,D
A000549,2025-01-31,654.5,C
A000550,2025-01-31,735.1,B
A000551,2025-01-31,837.6,A
A000552,2025-01-31,653.0,C
A000553,2025-01-31,700.4,B
A000554,2025-01-31,685.0,B
A000555,2025-01-31,720.4,B
A000556,2025-01-31,680.4,B
A000557,2025-01-31,657.9,C
A000558,2025-01-31,623.2,C
A000559,2025-01-31,708.3,B
A000560,2025-01-31,652.0,C
A000561,2025-01-31,592.6,D
A000562,2025-01-31,709.1,B
A000563,2025-01-31,533.8,E
A000564,2025-01-31,612.1,D
A000565,2025-01-31,659.3,C
A000566,2025-01-31,554.6,E
A000567,2025-01-31,736.3,B
A000568,2025-01-31,689.9,B
A000569,2025-01-31,694.3,B
A000570,2025-01-31,689.4,B
A000571,2025-01-31,646.4,C
A000572,2025-01-31,630.1,C
A000573,2025-01-31,606.2,D
A000574,2025-01-31,716.7,B
A000575,2025-01-31,623.6,C
A000576,2025-01-31,646.1,C
A000577,2025-01-31,559.2,E
A000578,2025-01-31,617.3,D
A000579,2025-01-31,738.9,B
A000580,2025-01-31,695.8,B
A000581,2025-01-31,687.5,B
A000582,2025-01-31,693.7,B
A000583,2025-01-31,722.3,B
A000584,2025-01-31,661.6,C
A000585,2025-01-31,763.7,A
A000586,2025-01-31,645.9,C
A000587,2025-01-31,618.6,D
A000588,2025-01-31,698.3,B
A000589,2025-01-31,651.4,C
A000590,2025-01-31,594.5,D
A000591,2025-01-31,737.1,B
A000592,2025-01-31,592.8,D
A000593,2025-01-31,639.5,C
A000594,2025-01-31,815.6,A
A000595,2025-01-31,697.9,B
A000596,2025-01-31,771.9,A
A000597,2025-01-31,679.6,C
A000598,2025-01-31,605.2,D
A000599,2025-01-31,585.0,D
A000600,2025-01-31,619.1,D
A000601,2025-01-31,669.7,C
A000602,2025-01-31,669.8,C
A000603,2025-01-31,617.4,D
A000604,2025-01-31,638.1,C
A000605,2025-01-31,673.3,C
A000606,2025-01-31,613.9,D
A000607,2025-01-31,675.8,C
A000608,2025-01-31,734.8,B
A000609,2025-01-31,678.1,C
A000610,2025-01-31,674.3,C
A000611,2025-01-31,682.4,B
A000612,2025-01-31,675.8,C
A000613,2025-01-31,529.9,E
A000614,2025-01-31,521.9,E
A000615,2025-01-31,721.6,B
A000616,2025-01-31,677.6,C
A000617,2025-01-31,684.2,B
A000618,2025-01-31,787.6,A
A000619,2025-01-31,684.5,B
A000620,2025-01-31,780.2,A
A000621,2025-01-31,643.2,C
A000622,2025-01-31,733.2,B
A000623,2025-01-31,676.4,C
A000624,2025-01-31,652.5,C
A000625,2025-01-31,633.5,C
A000626,2025-01-31,540.3,E
A000627,2025-01-31,604.3,D
A000628,2025-01-31,594.9,D
A000629,2025-01-31,708.0,B
A000630,2025-01-31,671.3,C
A000631,2025-01-31,655.1,C
A000632,2025-01-31,579.4,D
A000633,2025-01-31,711.4,B
A000634,2025-01-31,747.2,A
A000635,2025-01-31,692.5,B
A000636,2025-01-31,567.3,D
A000637,2025-01-31,631.9,C
A000638,2025-01-31,568.0,D
A000639,2025-01-31,672.8,C
A000640,2025-01-31,635.6,C
A000641,2025-01-31,664.1,C
A000642,2025-01-31,696.2,B
A000643,2025-01-31,574.5,D
A000644,2025-01-31,745.0,A
A000645,2025-01-31,703.0,B
A000646,2025-01-31,608.5,D
A000647,2025-01-31,663.4,C
A000648,2025-01-31,632.8,C
A000649,2025-01-31,686.9,B
A000650,2025-01-31,530.7,E
A000651,2025-01-31,584.1,D
A000652,2025-01-31,660.8,C
A000653,2025-01-31,732.3,B
A000654,2025-01-31,774.8,A
A000655,2025-01-31,599.6,D
A000656,2025-01-31,581.0,D
A000657,2025-01-31,625.8,C
A000658,2025-01-31,692.3,B
A000659,2025-01-31,782.8,A
A000660,2025-01-31,685.3,B
A000661,2025-01-31,541.9,E
A000662,2025-01-31,581.0,D
A000663,2025-01-31,650.1,C
A000664,2025-01-31,654.3,C
A000665,2025-01-31,620.8,C
A000666,2025-01-31,656.6,C
A000667,2025-01-31,599.2,D
A000668,2025-01-31,633.5,C
A000669,2025-01-31,713.6,B
A000670,2025-01-31,641.4,C
A000671,2025-01-31,762.5,A
A000672,2025-01-31,747.2,A
A000673,2025-01-31,824.2,A
A000674,2025-01-31,615.9,D
A000675,2025-01-31,645.2,C
A000676,2025-01-31,676.2,C
A000677,2025-01-31,545.3,E
A000678,2025-01-31,589.4,D
A000679,2025-01-31,656.7,C
A000680,2025-01-31,680.7,B
A000681,2025-01-31,564.8,D
A000682,2025-01-31,725.6,B
A000683,2025-01-31,662.1,C
A000684,2025-01-31,639.6,C
A000685,2025-01-31,717.9,B
A000686,2025-01-31,714.2,B
A000687,2025-01-31,765.1,A
A000688,2025-01-31,630.7,C
A000689,2025-01-31,668.3,C
A000690,2025-01-31,658.4,C
A000691,2025-01-31,662.1,C
A000692,2025-01-31,695.1,B
A000693,2025-01-31,664.7,C
A000694,2025-01-31,659.9,C
A000695,2025-01-31,791.1,A
A000696,2025-01-31,751.1,A
A000697,2025-01-31,739.0,B
A000698,2025-01-31,754.4,A
A000699,2025-01-31,656.9,C
A000700,2025-01-31,673.5,C
A000701,2025-01-31,621.6,C
A000702,2025-01-31,664.9,C
A000703,2025-01-31,613.9,D
A000704,2025-01-31,673.0,C
A000705,2025-01-31,679.3,C
A000706,2025-01-31,594.2,D
A000707,2025-01-31,690.2,B
A000708,2025-01-31,630.7,C
A000709,2025-01-31,755.9,A
A000710,2025-01-31,712.0,B
A000711,2025-01-31,735.6,B
A000712,2025-01-31,585.4,D
A000713,2025-01-31,663.8,C
A000714,2025-01-31,691.8,B
A000715,2025-01-31,672.8,C
A000716,2025-01-31,713.7,B
A000717,2025-01-31,622.3,C
A000718,2025-01-31,497.3,E
A000719,2025-01-31,680.0,C
A000720,2025-01-31,607.2,D
A000721,2025-01-31,462.2,E
A000722,2025-01-31,630.3,C
A000723,2025-01-31,648.4,C
A000724,2025-01-31,647.7,C
A000725,2025-01-31,687.5,B
A000726,2025-01-31,585.7,D
A000727,2025-01-31,580.8,D
A000728,2025-01-31,624.1,C
A000729,2025-01-31,612.1,D
A000730,2025-01-31,505.2,E
A000731,2025-01-31,646.1,C
A000732,2025-01-31,742.1,A
A000733,2025-01-31,696.6,B
A000734,2025-01-31,640.3,C
A000735,2025-01-31,641.0,C
A000736,2025-01-31,759.9,A
A000737,2025-01-31,631.4,C
A000738,2025-01-31,676.7,C
A000739,2025-01-31,642.8,C
A000740,2025-01-31,568.8,D
A000741,2025-01-31,624.8,C
A000742,2025-01-31,610.0,D
A000743,2025-01-31,582.5,D
A000744,2025-01-31,624.6,C
A000745,2025-01-31,628.4,C
A000746,2025-01-31,695.9,B
A000747,2025-01-31,709.8,B
A000748,2025-01-31,742.7,A
A000749,2025-01-31,697.9,B
A000750,2025-01-31,726.6,B
A000751,2025-01-31,718.4,B
A000752,2025-01-31,693.6,B
A000753,2025-01-31,676.9,C
A000754,2025-01-31,684.7,B
A000755,2025-01-31,713.5,B
A000756,2025-01-31,714.5,B
A000757,2025-01-31,734.6,B
A000758,2025-01-31,670.3,C
A000759,2025-01-31,744.0,A
A000760,2025-01-31,705.8,B
A000761,2025-01-31,648.4,C
A000762,2025-01-31,615.3,D
A000763,2025-01-31,597.8,D
A000764,2025-01-31,643.9,C
A000765,2025-01-31,582.2,D
A000766,2025-01-31,612.2,D
A000767,2025-01-31,717.1,B
A000768,2025-01-31,628.6,C
A000769,2025-01-31,667.6,C
A000770,2025-01-31,650.5,C
A000771,2025-01-31,639.0,C
A000772,2025-01-31,763.9,A
A000773,2025-01-31,698.7,B
A000774,2025-01-31,756.8,A
A000775,2025-01-31,693.6,B
A000776,2025-01-31,674.3,C
A000777,2025-01-31,709.9,B
A000778,2025-01-31,673.9,C
A000779,2025-01-31,608.7,D
A000780,2025-01-31,631.5,C
A000781,2025-01-31,717.3,B
A000782,2025-01-31,732.2,B
A000783,2025-01-31,634.6,C
A000784,2025-01-31,690.2,B
A000785,2025-01-31,638.0,C
A000786,2025-01-31,664.3,C
A000787,2025-01-31,653.3,C
A000788,2025-01-31,599.2,D
A000789,2025-01-31,593.0,D
A000790,2025-01-31,562.5,D
A000791,2025-01-31,712.1,B
A000792,2025-01-31,682.5,B
A000793,2025-01-31,660.8,C
A000794,2025-01-31,710.1,B
A000795,2025-01-31,717.5,B
A000796,2025-01-31,682.3,B
A000797,2025-01-31,707.0,B
A000798,2025-01-31,662.2,C
A000799,2025-01-31,652.7,C
A000800,2025-01-31,645.0,C
A000801,2025-01-31,643.3,C
A000802,2025-01-31,636.9,C
A000803,2025-01-31,656.5,C
A000804,2025-01-31,772.2,A
A000805,2025-01-31,675.8,C
A000806,2025-01-31,703.3,B
A000807,2025-01-31,660.7,C
A000808,2025-01-31,698.4,B
A000809,2025-01-31,638.2,C
A000810,2025-01-31,602.9,D
A000811,2025-01-31,702.2,B
A000812,2025-01-31,647.0,C
A000813,2025-01-31,749.0,A
A000814,2025-01-31,555.2,E
A000815,2025-01-31,715.9,B
A000816,2025-01-31,636.8,C
A000817,2025-01-31,596.3,D
A000818,2025-01-31,746.0,A
A000819,2025-01-31,671.5,C
A000820,2025-01-31,724.1,B
