payment_id,account_id,due_date,payment_date,amount_due,amount_paid
P00000128,A000007,2025-05-15,2025-05-13,102.66,101.66
P00000129,A000007,2025-06-15,2025-06-15,72.32,75.68
P00000130,A000007,2025-07-15,2025-07-15,77.55,76.49
P00000131,A000007,2025-08-15,2025-08-11,74.81,77.11
P00000132,A000007,2025-09-15,2025-09-12,58.38,60.91
P00000133,A000007,2025-10-15,2025-10-12,106.47,110.93
P00000134,A000007,2025-11-15,2025-11-15,97.96,102.8
P00000135,A000007,2025-12-15,2025-12-13,99.84,102.67
P00000136,A000008,2024-01-15,2024-01-12,131.31,131.66
P00000137,A000008,2024-02-15,2024-02-13,237.19,243.77
P00000138,A000008,2024-03-15,2024-03-12,133.07,139.33
P00000139,A000008,2024-04-15,2024-04-13,315.2,269.57
P00000140,A000008,2024-05-15,2024-05-14,329.01,149.87
P00000141,A000008,2024-06-15,2024-07-16,106.24,108.04
P00000142,A000008,2024-07-15,2024-07-12,106.57,105.91
P00000143,A000008,2024-08-15,2024-08-10,247.58,250.79
P00000144,A000008,2024-09-15,2024-09-15,150.18,151.15
P00000145,A000008,2024-10-15,2024-10-13,218.44,66.66
P00000146,A000008,2024-11-15,2024-11-10,134.83,132.41
P00000147,A000008,2024-12-15,2024-12-10,254.27,254.47
P00000148,A000008,2025-01-15,2025-02-25,338.04,352.43
P00000149,A000008,2025-02-15,2025-02-11,347.65,354.53
P00000150,A000008,2025-03-15,2025-03-13,360.68,377.04
P00000151,A000008,2025-04-15,2025-04-10,127.92,133.31
P00000152,A000008,2025-05-15,2025-05-15,358.15,364.31
P00000153,A000008,2025-06-15,2025-06-10,247.34,244.95
P00000154,A000008,2025-07-15,2025-07-13,207.16,203.17
P00000155,A000008,2025-08-15,2025-08-14,339.44,335.54
P00000156,A000008,2025-09-15,2025-09-15,331.83,339.52
P00000157,A000008,2025-10-15,2025-10-15,219.02,224.27
P00000158,A000008,2025-11-15,2025-11-10,294.0,295.27
P00000159,A000008,2025-12-15,2025-12-10,350.59,360.17
P00000160,A000009,2024-01-15,2024-01-10,153.69,152.64
P00000161,A000009,2024-02-15,2024-02-12,360.53,364.18
P00000162,A000009,2024-03-15,2024-03-15,173.88,174.28
P00000163,A000009,2024-04-15,2024-04-10,336.04,351.62
P00000164,A000009,2024-05-15,2024-05-12,160.13,165.87
P00000165,A000009,2024-06-15,2024-06-11,101.24,104.82
P00000166,A000009,2024-07-15,2024-07-13,139.69,140.99
P00000167,A000009,2024-08-15,2024-08-13,249.79,248.5
P00000168,A000009,2024-09-15,2024-09-10,305.03,310.87
P00000169,A000009,2024-10-15,2024-10-10,304.33,303.11
P00000170,A000009,2024-11-15,2024-11-15,312.02,310.39
P00000171,A000009,2024-12-15,2024-12-11,317.52,326.77
P00000172,A000009,2025-01-15,2025-01-10,160.27,164.66
P00000173,A000009,2025-02-15,2025-02-13,232.62,237.44
P00000174,A000009,2025-03-15,2025-03-15,198.89,207.97
P00000175,A000009,2025-04-15,2025-04-11,268.51,265.33
P00000176,A000009,2025-05-15,2025-05-10,335.78,349.2
P00000177,A000009,2025-06-15,2025-06-14,171.34,176.81
P00000178,A000009,2025-07-15,2025-07-13,130.56,129.87
P00000179,A000009,2025-08-15,2025-08-14,350.38,364.9
P00000180,A000009,2025-09-15,2025-09-28,296.43,301.61
P00000181,A000009,2025-10-15,2025-10-15,105.81,107.75
P00000182,A000009,2025-11-15,2025-11-11,190.04,189.75
P00000183,A000009,2025-12-15,2025-12-12,365.3,365.82
P00000184,A000010,2024-01-15,2024-01-13,150.36,152.99
P00000185,A000010,2024-02-15,2024-02-15,367.5,367.88
P00000186,A000010,2024-03-15,2024-03-28,458.43,478.83
P00000187,A000010,2024-04-15,2024-04-10,481.88,492.08
P00000188,A000010,2024-05-15,2024-05-26,292.1,298.44
P00000189,A000010,2024-06-15,2024-06-11,179.15,178.03
P00000190,A000010,2024-07-15,2024-07-15,320.49,333.09
P00000191,A000010,2024-08-15,2024-08-14,490.16,302.73
P00000192,A000010,2024-09-15,2024-09-11,184.98,183.88
P00000193,A000010,2024-10-15,2024-10-11,407.87,401.94
P00000194,A000010,2024-11-15,2024-12-20,232.36,241.94
P00000195,A000010,2024-12-15,2024-12-10,479.29,501.53
P00000196,A000010,2025-01-15,2025-02-19,517.85,513.46
P00000197,A000010,2025-02-15,2025-02-12,506.02,530.54
P00000198,A000010,2025-03-15,2025-03-10,212.45,216.31
P00000199,A000010,2025-04-15,2025-05-01,417.02,416.92
P00000200,A000010,2025-05-15,2025-05-15,467.41,284.03
P00000201,A000010,2025-06-15,2025-06-12,200.0,203.42
P00000202,A000010,2025-07-15,2025-07-13,207.0,203.44
P00000203,A000010,2025-08-15,2025-08-12,175.43,85.87
P00000204,A000010,2025-09-15,2025-09-11,394.09,392.69
P00000205,A000010,2025-10-15,2025-10-14,430.33,101.09
P00000206,A000010,2025-11-15,2025-11-13,417.06,421.8
P00000207,A000010,2025-12-15,2025-12-23,491.44,506.95
P00000208,A000011,2025-01-15,2025-01-15,136.41,134.99
P00000209,A000011,2025-02-15,2025-02-12,60.03,61.16
P00000210,A000011,2025-03-15,2025-03-14,65.93,66.84
P00000211,A000011,2025-04-15,2025-04-13,93.68,95.11
P00000212,A000011,2025-05-15,2025-05-13,79.12,79.31
P00000213,A000011,2025-06-15,2025-06-12,170.18,171.67
P00000214,A000011,2025-07-15,2025-07-11,173.3,174.56
P00000215,A000011,2025-08-15,2025-08-14,179.69,101.56
P00000216,A000011,2025-09-15,2025-09-13,148.28,151.53
P00000217,A000011,2025-10-15,2025-10-14,119.28,121.99
P00000218,A000011,2025-11-15,2025-11-13,99.22,103.23
P00000219,A000011,2025-12-15,2025-12-10,181.28,183.33
P00000220,A000012,2024-02-15,2024-02-13,499.23,501.67
P00000221,A000012,2024-03-15,2024-03-11,578.16,579.67
P00000222,A000012,2024-04-15,2024-04-14,203.27,208.63
P00000223,A000012,2024-05-15,2024-06-27,615.94,637.12
P00000224,A000012,2024-06-15,2024-06-14,510.68,514.29
P00000225,A000012,2024-07-15,2024-07-10,172.35,176.38
P00000226,A000012,2024-08-15,2024-09-23,586.03,339.13
P00000227,A000012,2024-09-15,2024-09-11,282.17,293.55
P00000228,A000012,2024-10-15,2024-11-23,289.48,289.32
P00000229,A000012,2024-11-15,2024-11-25,460.52,474.24
P00000230,A000012,2024-12-15,2024-12-15,604.31,628.79
P00000231,A000012,2025-01-15,2025-01-13,395.95,396.99
P00000232,A000012,2025-02-15,2025-02-10,225.63,227.24
P00000233,A000012,2025-03-15,2025-03-12,190.46,72.06
P00000234,A000012,2025-04-15,2025-04-10,582.25,603.71
P00000235,A000012,2025-05-15,2025-05-11,343.6,357.45
P00000236,A000012,2025-06-15,2025-06-10,415.41,434.48
P00000237,A000012,2025-07-15,2025-07-10,592.0,605.8
P00000238,A000012,2025-08-15,2025-08-10,318.83,324.57
P00000239,A000012,2025-09-15,2025-09-11,558.31,554.67
P00000240,A000012,2025-10-15,2025-10-14,327.15,338.54
P00000241,A000012,2025-11-15,2025-11-11,395.67,403.17
P00000242,A000012,2025-12-15,2025-12-27,591.68,597.57
P00000243,A000013,2024-08-15,2024-08-12,240.58,238.37
P00000244,A000013,2024-09-15,2024-09-13,102.39,105.82
P00000245,A000013,2024-10-15,2024-10-14,238.78,207.69
P00000246,A000013,2024-11-15,2024-12-22,216.69,220.3
P00000247,A000013,2024-12-15,2024-12-13,93.84,98.23
P00000248,A000013,2025-01-15,2025-01-14,156.4,153.91
P00000249,A000013,2025-02-15,2025-02-13,207.41,203.29
P00000250,A000013,2025-03-15,2025-03-13,71.33,74.04
P00000251,A000013,2025-04-15,2025-04-11,176.99,180.95
P00000252,A000013,2025-05-15,2025-05-14,221.89,228.65
P00000253,A000013,2025-06-15,2025-06-12,197.27,195.94
P00000254,A000013,2025-07-15,2025-07-15,245.27,247.45
P00000255,A000013,2025-08-15,2025-08-31,73.05,72.92
P00000256,A000013,2025-09-15,2025-09-12,179.82,180.27
P00000257,A000013,2025-10-15,2025-10-14,113.3,113.87
P00000258,A000013,2025-11-15,2025-11-15,202.13,204.33
P00000259,A000013,2025-12-15,2025-12-10,174.59,179.86
P00000260,A000014,2024-03-15,2024-03-24,68.2,70.69
P00000261,A000014,2024-04-15,2024-04-15,50.0,49.19
P00000262,A000014,2024-05-15,2024-05-13,50.0,52.0
P00000263,A000014,2024-06-15,2024-06-12,53.87,55.98
P00000264,A000014,2024-07-15,2024-07-15,50.0,52.12
P00000265,A000014,2024-08-15,2024-08-13,50.0,51.5
P00000266,A000014,2024-09-15,2024-09-15,50.0,49.88
P00000267,A000014,2024-10-15,2024-10-10,60.98,60.35
P00000268,A000014,2024-11-15,2024-11-14,63.29,64.57
P00000269,A000014,2024-12-15,2024-12-15,50.0,52.34
P00000270,A000014,2025-01-15,2025-01-18,50.0,50.4
P00000271,A000014,2025-02-15,2025-02-10,61.72,62.3
P00000272,A000014,2025-03-15,2025-03-13,62.72,63.57
P00000273,A000014,2025-04-15,2025-04-10,50.0,51.99
P00000274,A000014,2025-05-15,2025-05-14,50.0,50.08
P00000275,A000014,2025-06-15,2025-06-15,50.0,49.21
P00000276,A000014,2025-07-15,2025-07-14,74.69,77.47
P00000277,A000014,2025-08-15,2025-08-15,68.02,70.83
P00000278,A000014,2025-09-15,2025-09-13,65.33,65.79
P00000279,A000014,2025-10-15,2025-11-21,50.0,49.16
P00000280,A000014,2025-11-15,2025-11-12,68.55,69.7
P00000281,A000014,2025-12-15,2025-12-14,50.0,49.08
P00000282,A000015,2024-07-15,2024-07-10,325.68,335.39
P00000283,A000015,2024-08-15,2024-08-10,336.09,332.68
P00000284,A000015,2024-09-15,2024-09-15,376.88,372.21
P00000285,A000015,2024-10-15,2024-10-10,368.51,364.14
P00000286,A000015,2024-11-15,2024-11-11,449.13,445.09
P00000287,A000015,2024-12-15,2024-12-15,270.93,271.35
P00000288,A000015,2025-01-15,2025-01-14,287.19,291.35
P00000289,A000015,2025-02-15,2025-02-21,197.31,195.9
P00000290,A000015,2025-03-15,2025-03-15,417.98,430.31
P00000291,A000015,2025-04-15,2025-04-18,407.08,315.18
P00000292,A000015,2025-05-15,2025-06-13,247.0,252.13
P00000293,A000015,2025-06-15,2025-06-13,311.23,312.03
P00000294,A000015,2025-07-15,2025-07-12,394.42,397.3
P00000295,A000015,2025-08-15,2025-08-15,138.48,143.23
P00000296,A000015,2025-09-15,2025-09-12,511.01,516.63
P00000297,A000015,2025-10-15,2025-10-13,187.29,187.33
P00000298,A000015,2025-11-15,2025-11-10,376.92,382.1
P00000299,A000015,2025-12-15,2025-12-13,453.13,469.4
P00000300,A000016,2024-01-15,2024-01-15,300.78,93.57
P00000301,A000016,2024-02-15,2024-02-12,207.04,208.68
P00000302,A000016,2024-03-15,2024-03-15,224.84,130.09
P00000303,A000016,2024-04-15,2024-04-11,304.7,316.96
P00000304,A000016,2024-05-15,2024-05-10,257.96,149.47
P00000305,A000016,2024-06-15,2024-06-14,208.22,213.37
P00000306,A000016,2024-07-15,2024-07-12,222.44,111.73
P00000307,A000016,2024-08-15,2024-08-14,110.94,109.57
P00000308,A000016,2024-09-15,2024-09-13,190.26,191.0
P00000309,A000016,2024-10-15,2024-10-15,113.44,118.45
P00000310,A000016,2024-11-15,2024-11-11,129.95,132.08
P00000311,A000016,2024-12-15,2024-12-10,335.48,335.75
P00000312,A000016,2025-01-15,2025-02-05,250.93,256.05
P00000313,A000016,2025-02-15,2025-02-15,287.54,296.55
P00000314,A000016,2025-03-15,2025-03-12,222.83,222.85
P00000315,A000016,2025-04-15,2025-04-24,122.92,122.22
P00000316,A000016,2025-05-15,2025-05-12,335.78,344.04
P00000317,A000016,2025-06-15,2025-06-11,142.36,149.03
P00000318,A000016,2025-07-15,2025-07-11,154.54,151.53
P00000319,A000016,2025-08-15,2025-08-11,263.59,260.62
P00000320,A000016,2025-09-15,2025-09-12,102.06,102.91
P00000321,A000016,2025-10-15,2025-10-14,87.93,87.08
P00000322,A000016,2025-11-15,2025-11-12,186.41,189.32
P00000323,A000016,2025-12-15,2025-12-11,91.32,73.88
P00000324,A000017,2024-10-15,2024-11-01,292.51,302.83
P00000325,A000017,2024-11-15,2024-11-14,374.5,386.25
P00000326,A000017,2024-12-15,2024-12-11,411.54,414.52
P00000327,A000017,2025-01-15,2025-02-21,546.59,571.76
P00000328,A000017,2025-02-15,2025-02-14,821.4,306.49
P00000329,A000017,2025-03-15,2025-03-15,420.99,426.19
P00000330,A000017,2025-04-15,2025-04-13,490.68,291.51
P00000331,A000017,2025-05-15,2025-05-12,624.11,620.17
P00000332,A000017,2025-06-15,2025-06-13,707.58,730.54
P00000333,A000017,2025-07-15,2025-07-12,578.95,587.81
P00000334,A000017,2025-08-15,2025-08-10,740.99,771.41
P00000335,A000017,2025-09-15,2025-09-15,568.65,266.84
P00000336,A000017,2025-10-15,2025-11-05,655.94,666.88
P00000337,A000017,2025-11-15,2025-11-15,317.56,318.83
P00000338,A000017,2025-12-15,2025-12-13,376.9,381.13
P00000339,A000018,2024-01-15,2024-01-13,225.28,221.59
P00000340,A000018,2024-02-15,2024-02-12,176.18,138.83
P00000341,A000018,2024-03-15,2024-03-15,191.73,199.86
P00000342,A000018,2024-04-15,2024-05-18,190.56,197.71
P00000343,A000018,2024-05-15,2024-05-11,151.22,158.08
P00000344,A000018,2024-06-15,2024-06-12,188.59,193.44
P00000345,A000018,2024-07-15,2024-07-10,161.19,162.88
P00000346,A000018,2024-08-15,2024-09-12,209.26,207.75
P00000347,A000018,2024-09-15,2024-09-10,144.24,147.8
P00000348,A000018,2024-10-15,2024-10-10,192.02,192.0
P00000349,A000018,2024-11-15,2024-11-15,195.88,204.41
P00000350,A000018,2024-12-15,2024-12-12,305.82,313.54
P00000351,A000018,2025-01-15,2025-01-12,136.04,82.26
P00000352,A000018,2025-02-15,2025-02-26,264.72,271.02
P00000353,A000018,2025-03-15,2025-03-12,137.42,135.33
P00000354,A000018,2025-04-15,2025-04-15,170.37,170.98
P00000355,A000018,2025-05-15,2025-05-12,90.19,92.83
P00000356,A000018,2025-06-15,2025-06-13,338.22,345.8
P00000357,A000018,2025-07-15,2025-07-13,267.98,270.19
P00000358,A000018,2025-08-15,2025-08-14,351.49,360.86
P00000359,A000018,2025-09-15,2025-09-12,276.8,275.01
P00000360,A000018,2025-10-15,2025-10-13,163.97,165.32
P00000361,A000018,2025-11-15,2025-11-12,245.58,245.92
P00000362,A000018,2025-12-15,2025-12-12,142.85,110.69
P00000363,A000019,2024-11-15,2024-11-13,135.99,138.25
P00000364,A000019,2024-12-15,2024-12-13,101.53,99.98
P00000365,A000019,2025-01-15,2025-01-14,65.14,66.53
P00000366,A000019,2025-02-15,2025-02-14,166.85,168.37
P00000367,A000019,2025-03-15,2025-03-12,100.59,104.62
P00000368,A000019,2025-04-15,2025-04-14,120.54,126.49
P00000369,A000019,2025-05-15,2025-05-13,142.02,100.17
P00000370,A000019,2025-06-15,2025-06-10,143.53,142.83
P00000371,A000019,2025-07-15,2025-07-10,145.23,142.43
P00000372,A000019,2025-08-15,2025-08-11,130.2,68.04
P00000373,A000019,2025-09-15,2025-09-14,141.08,140.54
P00000374,A000019,2025-10-15,2025-10-12,70.78,70.35
P00000375,A000019,2025-11-15,2025-11-14,162.46,162.42
P00000376,A000019,2025-12-15,2025-12-14,89.04,92.36
P00000377,A000020,2024-06-15,2024-06-11,166.36,163.65
P00000378,A000020,2024-07-15,2024-07-10,69.0,72.04
P00000379,A000020,2024-08-15,2024-08-14,160.19,167.88
P00000380,A000020,2024-09-15,2024-09-14,109.38,108.5
P00000381,A000020,2024-10-15,2024-10-15,122.77,126.13
P00000382,A000020,2024-11-15,2024-11-15,119.67,125.0
P00000383,A000020,2024-12-15,2024-12-14,178.18,177.56
P00000384,A000020,2025-01-15,2025-01-12,202.3,209.7
P00000385,A000020,2025-02-15,2025-02-15,136.7,140.42
P00000386,A000020,2025-03-15,2025-03-19,179.83,177.62
P00000387,A000020,2025-04-15,2025-04-14,148.23,145.58
P00000388,A000020,2025-05-15,2025-05-14,157.89,163.74
P00000389,A000020,2025-06-15,2025-06-12,214.5,211.55
P00000390,A000020,2025-07-15,2025-07-14,192.29,193.64
P00000391,A000020,2025-08-15,2025-08-15,179.7,180.19
P00000392,A000020,2025-09-15,2025-09-13,150.01,156.27
P00000393,A000020,2025-10-15,2025-10-12,82.36,83.03
P00000394,A000020,2025-11-15,2025-11-13,124.91,127.66
P00000395,A000020,2025-12-15,2025-12-12,104.23,106.17
P00000396,A000021,2025-03-15,2025-03-12,316.74,312.53
P00000397,A000021,2025-04-15,2025-04-15,175.91,178.61
P00000398,A000021,2025-05-15,2025-05-15,329.01,325.62
P00000399,A000021,2025-06-15,2025-06-13,378.83,379.9
P00000400,A000021,2025-07-15,2025-07-13,218.61,227.23
P00000401,A000021,2025-08-15,2025-08-12,503.38,522.02
P00000402,A000021,2025-09-15,2025-09-12,387.01,383.76
P00000403,A000021,2025-10-15,2025-10-12,219.08,227.11
P00000404,A000021,2025-11-15,2025-11-15,609.7,626.95
P00000405,A000021,2025-12-15,2025-12-11,308.23,306.85
P00000406,A000022,2024-01-15,2024-01-14,380.07,372.66
P00000407,A000022,2024-02-15,2024-02-13,970.33,975.81
P00000408,A000022,2024-03-15,2024-03-12,792.96,780.6
P00000409,A000022,2024-04-15,2024-04-13,768.99,803.75
P00000410,A000022,2024-05-15,2024-05-14,325.74,319.68
P00000411,A000022,2024-06-15,2024-06-14,278.67,291.71
P00000412,A000022,2024-07-15,2024-07-14,560.62,550.96
P00000413,A000022,2024-08-15,2024-08-10,649.82,673.14
P00000414,A000022,2024-09-15,2024-09-13,334.15,341.21
P00000415,A000022,2024-10-15,2024-10-18,578.77,591.72
P00000416,A000022,2024-11-15,2024-11-12,948.89,930.42
P00000417,A000022,2024-12-15,2025-01-11,942.25,925.21
P00000418,A000022,2025-01-15,2025-01-15,919.66,926.58
P00000419,A000022,2025-02-15,2025-02-13,854.14,874.81
P00000420,A000022,2025-03-15,2025-03-13,599.61,593.23
P00000421,A000022,2025-04-15,2025-04-10,473.16,485.75
P00000422,A000022,2025-05-15,2025-05-14,809.32,813.18
P00000423,A000022,2025-06-15,2025-06-10,957.15,992.82
P00000424,A000022,2025-07-15,2025-07-15,358.09,357.64
P00000425,A000022,2025-08-15,2025-08-13,1035.75,1075.39
P00000426,A000022,2025-09-15,2025-09-10,625.23,627.56
P00000427,A000022,2025-10-15,2025-10-14,420.73,440.71
P00000428,A000022,2025-11-15,2025-11-12,965.93,978.87
P00000429,A000022,2025-12-15,2025-12-13,668.8,690.78
P00000430,A000023,2024-01-15,2024-01-14,132.42,136.58
P00000431,A000023,2024-02-15,2024-02-10,103.72,102.56
P00000432,A000023,2024-03-15,2024-03-12,229.65,237.28
P00000433,A000023,2024-04-15,2024-04-15,212.46,219.81
P00000434,A000023,2024-05-15,2024-05-14,110.99,113.54
P00000435,A000023,2024-06-15,2024-06-14,179.03,178.68
P00000436,A000023,2024-07-15,2024-07-12,69.17,68.37
P00000437,A000023,2024-08-15,2024-08-15,184.82,186.92
P00000438,A000023,2024-09-15,2024-09-10,87.53,90.96
P00000439,A000023,2024-10-15,2024-10-13,179.46,179.36
P00000440,A000023,2024-11-15,2024-11-12,228.17,237.32
P00000441,A000023,2024-12-15,2024-12-10,204.13,206.75
P00000442,A000023,2025-01-15,2025-01-11,84.8,87.17
P00000443,A000023,2025-02-15,2025-02-11,218.45,224.79
P00000444,A000023,2025-03-15,2025-03-10,154.21,158.26
P00000445,A000023,2025-04-15,2025-04-14,202.17,204.24
P00000446,A000023,2025-05-15,2025-05-13,90.23,93.46
P00000447,A000023,2025-06-15,2025-07-09,222.65,229.44
P00000448,A000023,2025-07-15,2025-07-14,107.13,109.04
P00000449,A000023,2025-08-15,2025-08-14,89.33,90.7
