account_id,customer_record_id,open_date,credit_limit,current_balance,product_type,status
A000039,C000016,2024-05-26,26735.7,4321.32,Revolving Credit,Open
A000040,C000016,2024-09-21,19152.54,9019.7,Revolving Credit,Open
A000041,C000017,2024-02-02,2500.0,1191.74,Revolving Credit,Open
A000042,C000017,2023-11-25,4172.17,1952.44,Revolving Credit,Open
A000043,C000017,2023-08-13,3120.84,1483.86,Commercial Card,Open
A000044,C000019,2023-11-25,11992.02,3450.86,Fleet Card,Open
A000045,C000019,2023-04-01,6448.54,928.22,Revolving Credit,Open
A000046,C000019,2023-12-01,9453.73,6149.15,Commercial Card,Open
A000047,C000019,2023-02-13,9138.81,5646.66,Revolving Credit,Open
A000048,C000020,2024-10-08,25050.42,9073.03,Commercial Card,Open
A000049,C000020,2023-03-24,29744.15,20713.66,Fleet Card,Open
A000050,C000020,2024-08-22,17201.51,7539.67,Revolving Credit,Open
A000051,C000020,2023-10-11,18425.7,8724.23,Fleet Card,Open
A000052,C000021,2023-02-28,3362.98,1548.08,Fleet Card,Open
A000053,C000022,2024-09-27,20119.75,2150.45,Fleet Card,Open
A000054,C000022,2023-07-31,32368.88,11947.27,Revolving Credit,Open
A000055,C000023,2024-03-28,8164.99,5125.08,Commercial Card,Open
A000056,C000023,2023-04-06,8821.31,2114.23,Fleet Card,Open
A000057,C000023,2024-04-23,3946.72,3058.48,Commercial Card,Open
A000058,C000023,2023-07-20,17092.44,5850.08,Commercial Card,Open
A000059,C000024,2024-01-25,17786.04,5768.49,Commercial Card,Open
A000060,C000024,2024-09-11,48283.37,14744.32,Commercial Card,Open
A000061,C000025,2023-05-12,17311.89,6819.23,Commercial Card,Open
A000062,C000025,2024-02-15,19119.86,14640.6,Fleet Card,Open
A000063,C000025,2024-02-09,13740.37,,Revolving Credit,Open
A000064,C000025,2023-07-15,15543.23,7074.24,Revolving Credit,Open
A000065,C000027,2023-12-24,6097.61,1849.03,Fleet Card,Open
A000066,C000027,2024-10-23,11375.09,6424.94,Fleet Card,Open
A000067,C000027,2024-07-01,8019.74,4056.61,Commercial Card,Open
A000068,C000026,2024-07-26,6795.12,2200.45,Revolving Credit,Open
A000069,C000028,2024-04-06,44941.07,17917.09,Commercial Card,Open
A000070,C000028,2024-10-19,41429.74,3892.7,Fleet Card,Open
A000071,C000028,2024-11-24,40977.52,15703.35,Commercial Card,Open
A000072,C000029,2024-05-04,13853.88,2611.53,Revolving Credit,Open
A000073,C000030,2023-09-26,5008.35,2683.19,Revolving Credit,Open
A000074,C000031,2024-10-09,2500.0,693.0,Revolving Credit,Open
A000075,C000034,2025-02-08,9043.32,2261.23,Revolving Credit,Open
A000076,C000034,2024-10-19,11581.17,6182.13,Revolving Credit,Open
A000077,C000035,2025-02-12,3317.41,987.46,Fleet Card,Open
A000078,C000035,2023-10-26,3714.75,2097.76,Fleet Card,Open
A000079,C000035,2023-03-30,4082.84,1933.4,Fleet Card,Open
A000080,C000036,2023-03-01,7680.11,5414.47,Commercial Card,Open
A000081,C000036,2024-01-20,6262.67,2619.94,Revolving Credit,Open
A000082,C000036,2024-03-12,3406.74,755.39,Fleet Card,Open
A000083,C000038,2024-07-08,27951.78,18330.03,Commercial Card,Open
A000084,C000038,2023-09-13,8859.42,5505.75,Revolving Credit,Closed
A000085,C000039,2023-07-10,3255.09,1224.94,Commercial Card,Open
A000086,C000039,2024-09-09,14116.21,5473.7,Revolving Credit,Open
A000087,C000040,2023-03-12,7225.85,2605.25,Commercial Card,Open
A000088,C000040,2024-01-06,19651.1,6659.24,Commercial Card,Open
A000089,C000040,2024-05-02,28750.3,2200.08,Commercial Card,Open
A000090,C000041,2024-04-03,12933.79,5562.17,Revolving Credit,Open
A000091,C000042,2023-11-24,44738.29,23061.94,Commercial Card,Open
A000092,C000042,2024-01-31,52974.82,19856.11,Fleet Card,Open
A000093,C000042,2025-02-15,35824.01,16833.21,Revolving Credit,Open
A000094,C000043,2023-12-13,8192.42,2682.82,Revolving Credit,Open
A000095,C000043,2023-02-20,4725.61,1948.94,Commercial Card,Open
A000096,C000043,2024-05-26,20477.3,8495.56,Revolving Credit,Open
A000097,C000043,2025-02-05,4189.27,1403.9,Revolving Credit,Open
A000098,C000044,2024-05-20,27694.03,23364.65,Commercial Card,Open
A000099,C000045,2023-10-24,7782.82,2257.07,Fleet Card,Open
A000100,C000045,2024-11-23,13465.55,9605.8,Revolving Credit,Open
A000101,C000045,2024-01-09,27340.65,6619.98,Fleet Card,Open
A000102,C000045,2023-12-02,5726.22,1419.55,Revolving Credit,Open
A000103,C000046,2024-03-01,2500.0,1505.09,Fleet Card,Open
A000104,C000046,2024-09-08,6696.77,3402.96,Fleet Card,Open
A000105,C000046,2023-01-16,3441.7,840.37,Fleet Card,Open
A000106,C000047,2024-03-29,7491.06,2527.67,Revolving Credit,Open
A000107,C000048,2024-04-05,19888.48,10340.47,Revolving Credit,Open
A000108,C000049,2023-06-05,20277.39,12001.62,Fleet Card,Open
A000109,C000049,2023-07-26,6668.89,2429.33,Revolving Credit,Open
A000110,C000049,2023-03-12,24656.55,,Revolving Credit,Open
A000111,C000051,2024-02-22,27293.1,,Revolving Credit,Open
A000112,C000051,2024-06-04,6713.23,3921.06,Revolving Credit,Open
A000113,C000051,2023-05-19,9732.97,2892.73,Fleet Card,Open
A000114,C000051,2023-01-09,31588.52,11394.53,Revolving Credit,Open
A000115,C000051,2023-03-09,18782.36,2622.3,Revolving Credit,Open
A000116,C000053,2024-08-31,53096.57,11513.26,Revolving Credit,Open
A000117,C000052,2024-12-24,48122.51,30229.05,Revolving Credit,Open
A000118,C000053,2023-04-28,52714.48,19427.38,Revolving Credit,Open
A000119,C000054,2023-11-02,12734.48,8227.04,Fleet Card,Open
A000120,C000054,2023-12-23,3635.2,1082.17,Commercial Card,Open
A000121,C000054,2024-08-15,4010.4,2380.38,Commercial Card,Open
A000122,C000054,2023-06-16,10560.32,8035.56,Fleet Card,Open
A000123,C000054,2023-05-27,14544.74,6908.21,Commercial Card,Open
A000124,C000055,2023-09-23,6117.76,2732.14,Revolving Credit,Open
A000125,C000055,2023-03-21,7343.03,4425.15,Fleet Card,Open
A000126,C000055,2023-04-10,10016.32,1705.02,Commercial Card,Open
A000127,C000057,2024-12-18,5442.47,4151.2,Fleet Card,Open
A000128,C000057,2024-01-19,6098.08,3884.55,Fleet Card,Open
A000129,C000057,2023-11-11,3428.35,462.67,Revolving Credit,Open
A000130,C000058,2024-06-17,19909.94,8881.52,Revolving Credit,Open
A000131,C000058,2023-12-24,17623.67,4009.41,Commercial Card,Open
A000132,C000059,2023-10-17,7276.18,2942.07,Revolving Credit,Open
A000133,C000059,2023-12-11,5274.52,1859.37,Fleet Card,Open
A000134,C000059,2025-02-03,13934.29,4105.22,Fleet Card,Closed
A000135,C000059,2025-01-06,4034.08,2465.32,Commercial Card,Open
A000136,C000061,2023-12-07,40276.31,23530.63,Revolving Credit,Open
A000137,C000060,2023-03-19,17416.46,5359.75,Revolving Credit,Open
A000138,C000062,2024-05-09,2500.0,1328.84,Fleet Card,Open
A000139,C000062,2024-09-01,3277.5,1404.25,Revolving Credit,Open
A000140,C000062,2023-06-08,5440.11,3786.68,Revolving Credit,Open
A000141,C000062,2024-07-27,3611.26,645.26,Revolving Credit,Open
A000142,C000062,2024-08-30,2880.15,1264.94,Commercial Card,Open
A000143,C000063,2024-01-16,12369.19,1377.72,Commercial Card,Open
A000144,C000063,2024-11-18,17614.5,11221.68,Commercial Card,Open
A000145,C000063,2024-10-08,17786.12,6086.39,Fleet Card,Open
A000146,C000064,2024-11-27,36411.53,6432.62,Revolving Credit,Open
A000147,C000064,2024-04-25,24304.35,12145.56,Commercial Card,Open
A000148,C000064,2024-10-24,24030.37,11572.46,Revolving Credit,Open
A000149,C000065,2023-08-15,4290.63,1379.77,Fleet Card,Open
A000150,C000065,2023-01-27,5635.82,2223.44,Commercial Card,Open
A000151,C000065,2023-10-13,3143.35,1737.02,Fleet Card,Open
A000152,C000066,2024-10-01,8615.05,3676.46,Revolving Credit,Open
A000153,C000066,2023-01-25,5708.76,2812.17,Fleet Card,Open
A000154,C000067,2023-05-21,34429.32,5624.07,Commercial Card,Open
A000155,C000067,2025-02-01,32267.67,18065.25,Fleet Card,Open
A000156,C000067,2024-09-29,35501.07,16078.78,Revolving Credit,Open
A000157,C000068,2023-11-12,4587.44,2228.83,Revolving Credit,Open
A000158,C000068,2024-02-10,14070.74,3981.32,Revolving Credit,Open
A000159,C000068,2024-12-20,5022.71,2967.35,Commercial Card,Open
A000160,C000069,2023-02-22,6213.93,1871.93,Fleet Card,Open
A000161,C000069,2024-04-06,3679.47,1795.9,Revolving Credit,Open
A000162,C000069,2023-01-11,2726.79,948.46,Fleet Card,Open
A000163,C000069,2023-08-03,2556.01,536.14,Revolving Credit,Open
A000164,C000070,2024-04-16,8152.62,2192.83,Commercial Card,Open
A000165,C000072,2024-12-19,5803.12,1848.17,Revolving Credit,Open
A000166,C000072,2024-07-28,15863.62,5065.43,Revolving Credit,Closed
A000167,C000072,2023-11-05,7127.69,3324.32,Fleet Card,Open
A000168,C000071,2023-01-19,17045.8,7033.58,Fleet Card,Open
A000169,C000071,2023-04-22,5860.21,3141.68,Fleet Card,Open
A000170,C000074,2023-12-25,33921.94,16318.0,Fleet Card,Open
A000171,C000074,2023-09-29,32654.62,3101.93,Commercial Card,Open
A000172,C000073,2024-12-22,38615.78,18902.17,Revolving Credit,Open
A000173,C000076,2023-11-20,9045.97,6361.93,Revolving Credit,Open
A000174,C000075,2023-07-16,14766.79,8092.37,Revolving Credit,Open
A000175,C000077,2023-08-09,6390.22,2446.51,Revolving Credit,Closed
A000176,C000077,2023-03-27,5266.01,2961.25,Commercial Card,Closed
A000177,C000078,2024-11-03,18903.21,6082.01,Commercial Card,Open
A000178,C000078,2023-07-11,18119.16,8778.95,Commercial Card,Open
A000179,C000078,2025-01-12,10678.97,2815.37,Fleet Card,Open
A000180,C000078,2024-12-29,8358.39,5632.5,Revolving Credit,Open
A000181,C000079,2024-02-23,7376.5,2965.2,Fleet Card,Open
A000182,C000079,2024-06-11,2500.0,1451.69,Revolving Credit,Open
A000183,C000080,2024-12-09,8191.0,3231.91,Fleet Card,Open
A000184,C000081,2023-02-28,2713.77,1096.82,Commercial Card,Open
A000185,C000081,2024-05-24,3153.01,2471.49,Revolving Credit,Open
A000186,C000081,2023-09-27,6414.56,5265.48,Revolving Credit,Open
A000187,C000082,2024-05-19,5813.66,3653.97,Commercial Card,Open
A000188,C000083,2023-04-21,6188.25,4080.1,Revolving Credit,Open
A000189,C000084,2024-05-11,3564.4,1662.87,Revolving Credit,Open
A000190,C000084,2024-07-09,5422.39,2676.86,Revolving Credit,Open
A000191,C000084,2024-01-05,6549.88,2472.87,Revolving Credit,Open
A000192,C000084,2023-11-02,6730.33,3528.05,Commercial Card,Open
A000193,C000084,2024-02-25,3092.47,1550.39,Revolving Credit,Open
A000194,C000085,2023-04-16,18145.69,3449.17,Fleet Card,Open
A000195,C000085,2023-06-05,13296.09,5469.65,Fleet Card,Open
A000196,C000085,2023-12-13,4053.84,715.15,Fleet Card,Open
A000197,C000086,2023-08-28,5299.69,2088.08,Fleet Card,Open
A000198,C000087,2024-07-16,5363.35,4332.1,Revolving Credit,Open
A000199,C000087,2024-12-22,7759.29,5013.39,Commercial Card,Open
A000200,C000087,2023-12-11,3936.54,2912.36,Revolving Credit,Open
A000201,C000090,2024-01-25,24611.1,11354.69,Commercial Card,Open
A000202,C000091,2024-01-16,6813.02,3796.87,Commercial Card,Open
A000203,C000091,2023-07-26,2529.96,961.25,Commercial Card,Open
A000204,C000091,2024-08-14,6995.76,3211.66,Fleet Card,Open
A000205,C000091,2023-04-08,3212.22,2464.86,Revolving Credit,Open
A000206,C000094,2025-02-02,25198.43,5932.29,Fleet Card,Open
A000207,C000094,2024-01-05,12968.11,6287.16,Revolving Credit,Open
A000208,C000093,2024-06-10,28941.28,3847.95,Revolving Credit,Open
A000209,C000097,2024-11-01,6526.11,2118.68,Commercial Card,Open
A000210,C000097,2023-07-16,2890.24,1034.6,Fleet Card,Open
A000211,C000098,2024-12-22,4558.15,3758.99,Fleet Card,Open
A000212,C000098,2025-02-23,3105.34,1839.81,Revolving Credit,Open
A000213,C000098,2023-03-12,4901.81,2179.73,Revolving Credit,Open
A000214,C000098,2025-01-24,3627.87,948.66,Revolving Credit,Open
A000215,C000098,2023-03-19,3290.63,2097.41,Revolving Credit,Open
A000216,C000099,2024-10-21,13237.44,5613.42,Revolving Credit,Open
A000217,C000099,2024-04-30,5323.63,2651.96,Revolving Credit,Open
A000218,C000100,2024-11-22,3422.53,1649.21,Fleet Card,Open
A000219,C000100,2025-02-05,2904.19,876.74,Commercial Card,Open
A000220,C000100,2025-01-23,3747.75,2587.57,Revolving Credit,Open
A000221,C000101,2024-09-17,7518.33,2630.33,Fleet Card,Open
A000222,C000101,2023-11-14,2500.0,1686.27,Fleet Card,Open
A000223,C000103,2023-10-13,7587.33,573.99,Fleet Card,Open
A000224,C000103,2024-02-08,5519.54,2987.61,Fleet Card,Open
A000225,C000103,2023-08-08,3950.33,1525.32,Commercial Card,Open
A000226,C000104,2024-12-15,14604.22,2557.95,Fleet Card,Open
A000227,C000104,2023-04-13,10939.51,6219.04,Commercial Card,Open
A000228,C000104,2023-10-03,24873.52,5432.34,Fleet Card,Open
A000229,C000104,2025-03-01,5380.32,2101.1,Fleet Card,Closed
A000230,C000104,2025-01-21,5685.58,1212.59,Fleet Card,Open
A000231,C000105,2024-11-03,11619.04,2457.7,Fleet Card,Open
A000232,C000105,2024-10-25,16518.28,4476.61,Revolving Credit,Open
A000233,C000105,2024-07-28,11417.95,5924.72,Fleet Card,Open
A000234,C000105,2023-04-07,14333.11,4910.09,Commercial Card,Open
A000235,C000105,2023-08-26,5280.37,3253.7,Commercial Card,Open
A000236,C000106,2024-05-21,3258.75,1488.9,Commercial Card,Open
A000237,C000106,2024-06-03,2507.89,943.51,Commercial Card,Open
A000238,C000106,2024-09-30,10092.92,7662.27,Commercial Card,Open
A000239,C000107,2024-02-06,3015.54,1786.77,Commercial Card,Open
A000240,C000108,2024-05-09,4168.13,2423.85,Commercial Card,Open
A000241,C000108,2024-04-19,3281.22,1160.17,Revolving Credit,Open
A000242,C000109,2023-07-29,8475.53,3140.29,Fleet Card,Open
A000243,C000110,2023-05-19,6130.85,4167.38,Fleet Card,Open
A000244,C000110,2023-01-15,16645.48,8149.76,Revolving Credit,Open
A000245,C000111,2023-07-11,20855.84,8955.84,Revolving Credit,Open
A000246,C000111,2024-09-17,11908.26,6355.17,Revolving Credit,Open
A000247,C000111,2024-07-01,24022.3,8624.08,Commercial Card,Open
A000248,C000111,2024-03-29,13039.55,4224.36,Fleet Card,Open
A000249,C000112,2024-06-07,6113.97,3593.65,Commercial Card,Open
A000250,C000113,2024-07-07,14530.03,4571.11,Commercial Card,Open
A000251,C000114,2023-04-03,14333.35,5884.51,Commercial Card,Closed
A000252,C000114,2024-06-08,10026.95,2558.66,Revolving Credit,Closed
A000253,C000113,2023-08-12,4179.63,688.47,Commercial Card,Open
A000254,C000115,2023-06-18,27466.12,15592.63,Commercial Card,Open
A000255,C000115,2024-11-28,11244.25,8009.03,Revolving Credit,Open
A000256,C000115,2023-03-03,43335.08,27662.83,Commercial Card,Open
A000257,C000116,2024-01-14,3103.81,1853.44,Fleet Card,Open
A000258,C000116,2023-02-17,3136.01,1630.77,Fleet Card,Open
A000259,C000116,2024-08-28,5073.96,696.28,Commercial Card,Open
A000260,C000117,2023-10-13,4119.34,1506.38,Commercial Card,Open
A000261,C000117,2023-09-05,2600.05,737.63,Commercial Card,Open
A000262,C000117,2023-05-23,2500.0,792.93,Revolving Credit,Open
A000263,C000118,2024-06-08,12401.67,5765.27,Revolving Credit,Open
A000264,C000119,2025-02-15,3014.72,2088.37,Revolving Credit,Open
A000265,C000121,2024-06-07,50475.32,22265.7,Fleet Card,Open
A000266,C000121,2024-11-25,28003.57,6496.07,Fleet Card,Open
A000267,C000122,2024-12-09,4948.6,2991.89,Revolving Credit,Open
A000268,C000122,2023-03-29,3209.62,363.58,Commercial Card,Open
A000269,C000122,2023-06-20,10260.16,7147.87,Fleet Card,Open
A000270,C000124,2023-04-18,3048.21,957.11,Revolving Credit,Open
A000271,C000124,2024-02-20,11382.65,5685.24,Commercial Card,Open
A000272,C000125,2025-02-19,9409.67,2879.2,Commercial Card,Open
A000273,C000125,2025-01-15,6951.81,2255.46,Fleet Card,Open
A000274,C000125,2025-02-25,8056.97,5154.28,Revolving Credit,Open
A000275,C000125,2023-01-08,8902.66,5128.33,Commercial Card,Open
A000276,C000125,2024-07-13,3804.03,1986.34,Revolving Credit,Open
A000277,C000126,2023-03-12,5608.6,2429.0,Revolving Credit,Open
A000278,C000126,2023-09-01,5400.0,879.94,Revolving Credit,Open
A000279,C000126,2023-05-01,7195.97,5101.33,Revolving Credit,Open
A000280,C000126,2024-06-10,15640.87,6972.29,Revolving Credit,Open
A000281,C000127,2024-02-19,5955.21,3137.19,Fleet Card,Open
A000282,C000127,2024-08-01,8333.79,1025.7,Commercial Card,Open
A000283,C000128,2023-03-25,5805.73,1984.52,Fleet Card,Open
A000284,C000128,2024-09-16,3072.12,2013.48,Fleet Card,Open
A000285,C000128,2024-04-15,3586.15,1398.18,Revolving Credit,Open
A000286,C000129,2023-06-11,43074.68,6144.01,Fleet Card,Open
A000287,C000129,2024-03-21,14214.03,9414.04,Fleet Card,Open
A000288,C000129,2023-07-29,21403.03,9120.02,Commercial Card,Open
A000289,C000130,2024-11-29,3410.21,1390.34,Commercial Card,Open
A000290,C000130,2023-10-15,4998.01,1715.98,Fleet Card,Open
A000291,C000131,2023-04-10,18957.44,13493.35,Revolving Credit,Open
A000292,C000132,2024-02-06,11852.33,1636.44,Fleet Card,Open
A000293,C000132,2023-02-23,7764.31,3335.58,Revolving Credit,Open
A000294,C000133,2023-08-27,4573.05,1290.33,Revolving Credit,Open
A000295,C000133,2023-10-05,8665.23,3841.35,Commercial Card,Open
A000296,C000134,2025-01-06,6736.92,,Fleet Card,Open
A000297,C000134,2024-07-10,4102.55,437.1,Fleet Card,Open
A000298,C000134,2023-07-27,5380.64,2701.32,Commercial Card,Open
A000299,C000134,2024-01-15,4517.63,3092.47,Revolving Credit,Open
A000300,C000135,2024-02-23,9850.48,4985.58,Fleet Card,Open
A000301,C000135,2023-08-01,6201.48,997.79,Fleet Card,Open
A000302,C000135,2023-09-05,4053.83,2265.18,Commercial Card,Open
A000303,C000137,2024-10-30,5870.53,2121.07,Commercial Card,Open
A000304,C000136,2023-06-04,11563.8,5605.95,Revolving Credit,Open
A000305,C000137,2024-10-22,12296.17,4455.79,Fleet Card,Open
A000306,C000137,2025-01-10,7307.62,4684.09,Fleet Card,Open
A000307,C000138,2023-04-27,9045.13,,Commercial Card,Open
A000308,C000138,2023-05-30,4386.13,2341.76,Revolving Credit,Open
A000309,C000139,2024-12-17,4120.98,1397.75,Commercial Card,Open
A000310,C000139,2025-01-03,9215.36,6054.73,Fleet Card,Open
A000311,C000139,2023-10-06,15082.1,8927.34,Commercial Card,Open
A000312,C000140,2023-03-11,15835.18,6149.24,Fleet Card,Open
A000313,C000140,2024-04-05,10361.14,4097.63,Fleet Card,Open
A000314,C000140,2024-07-21,13883.2,2661.34,Commercial Card,Open
A000315,C000140,2024-09-13,8091.46,3659.02,Fleet Card,Open
A000316,C000140,2024-09-11,10740.63,5562.43,Fleet Card,Open
A000317,C000142,2023-02-15,5324.92,2445.59,Revolving Credit,Open
A000318,C000142,2024-09-05,7575.69,3867.21,Fleet Card,Open
A000319,C000143,2024-12-18,21894.87,13889.56,Fleet Card,Open
A000320,C000144,2023-07-26,12568.74,4678.39,Revolving Credit,Open
A000321,C000146,2023-03-16,2599.71,894.73,Revolving Credit,Open
A000322,C000146,2024-12-26,3207.33,2133.86,Commercial Card,Open
A000323,C000146,2024-05-06,5258.22,1425.19,Revolving Credit,Open
A000324,C000149,2023-08-07,12039.16,5522.11,Fleet Card,Open
A000325,C000149,2023-06-03,5334.29,1356.92,Fleet Card,Open
A000326,C000148,2024-09-02,24182.62,10585.95,Revolving Credit,Open
A000327,C000149,2023-08-23,16394.87,3746.04,Fleet Card,Open
A000328,C000150,2023-12-04,4136.36,469.9,Commercial Card,Open
A000329,C000150,2023-07-30,18077.96,9787.36,Revolving Credit,Open
A000330,C000150,2023-02-18,16092.81,2509.95,Revolving Credit,Open
A000331,C000151,2024-11-05,9721.39,4417.48,Revolving Credit,Open
A000332,C000151,2023-08-25,14996.57,4698.37,Revolving Credit,Open
A000333,C000152,2024-05-19,43225.54,21659.53,Revolving Credit,Open
A000334,C000152,2024-08-16,25197.89,11499.24,Fleet Card,Open
A000335,C000152,2024-05-24,26697.73,10102.53,Fleet Card,Open
A000336,C000152,2023-07-15,19175.97,7475.22,Revolving Credit,Open
A000337,C000152,2024-10-09,52221.21,36909.99,Commercial Card,Open
A000338,C000153,2024-01-03,6766.69,1685.4,Revolving Credit,Open
A000339,C000153,2023-04-27,5249.7,2315.52,Revolving Credit,Open
A000340,C000153,2024-03-12,6195.35,1946.46,Commercial Card,Open
A000341,C000154,2023-04-07,3552.07,1528.38,Revolving Credit,Open
A000342,C000154,2025-01-25,3164.08,1810.71,Revolving Credit,Open
A000343,C000157,2024-06-27,12369.71,7603.42,Fleet Card,Open
A000344,C000156,2025-02-09,12560.24,4500.64,Revolving Credit,Open
A000345,C000157,2023-02-20,12925.5,4001.24,Fleet Card,Open
A000346,C000158,2025-03-01,41360.63,16921.4,Revolving Credit,Open
A000347,C000158,2024-01-21,88863.35,24949.71,Commercial Card,Open
A000348,C000159,2024-11-04,5137.42,2506.88,Revolving Credit,Open
A000349,C000160,2023-09-18,29491.64,12378.6,Fleet Card,Open
A000350,C000161,2023-02-01,5056.53,912.07,Commercial Card,Closed
A000351,C000161,2024-08-31,5421.21,1463.1,Revolving Credit,Open
A000352,C000162,2023-11-23,8365.66,3335.17,Commercial Card,Open
A000353,C000162,2023-10-31,14962.22,9814.27,Commercial Card,Open
A000354,C000162,2024-09-26,9834.4,5059.75,Commercial Card,Open
A000355,C000162,2024-09-03,10022.81,6747.84,Commercial Card,Closed
A000356,C000162,2024-12-24,4073.88,2005.49,Fleet Card,Open
A000357,C000163,2023-08-21,14665.5,6023.11,Fleet Card,Open
A000358,C000163,2023-05-13,21382.61,10627.16,Commercial Card,Open
A000359,C000163,2023-03-07,12490.52,4125.69,Revolving Credit,Open
A000360,C000163,2024-01-09,11919.43,1682.07,Revolving Credit,Open
A000361,C000163,2023-09-02,6519.55,1935.8,Fleet Card,Open
A000362,C000164,2023-07-19,49262.7,23318.4,Revolving Credit,Open
A000363,C000164,2023-12-20,101885.88,67932.04,Fleet Card,Open
A000364,C000164,2024-08-16,76196.53,21662.57,Revolving Credit,Open
A000365,C000164,2023-05-16,78710.95,17350.49,Commercial Card,Open
A000366,C000165,2023-04-27,76180.3,33884.3,Revolving Credit,Open
A000367,C000165,2025-03-07,39741.79,2364.17,Fleet Card,Open
A000368,C000165,2024-02-25,16420.88,3299.47,Commercial Card,Open
A000369,C000165,2024-06-22,75681.21,49473.06,Commercial Card,Open
A000370,C000165,2024-05-14,49471.92,15023.21,Commercial Card,Open
A000371,C000167,2024-12-24,28875.8,13734.92,Revolving Credit,Open
A000372,C000166,2024-02-22,8211.41,1784.33,Revolving Credit,Open
A000373,C000168,2024-10-29,4331.04,1852.69,Revolving Credit,Open
A000374,C000168,2024-01-11,16450.16,2588.53,Fleet Card,Open
A000375,C000168,2023-10-23,14767.96,8920.81,Revolving Credit,Open
A000376,C000169,2024-12-20,34402.96,16866.09,Commercial Card,Open
A000377,C000169,2024-11-15,11125.43,5684.51,Fleet Card,Open
A000378,C000170,2024-01-03,13980.07,2180.68,Revolving Credit,Open
A000379,C000170,2024-06-18,11502.37,5352.02,Revolving Credit,Open
A000380,C000170,2024-07-08,7550.91,2258.09,Revolving Credit,Open
A000381,C000172,2024-07-17,9583.75,2880.51,Revolving Credit,Open
A000382,C000173,2023-11-11,4898.13,,Commercial Card,Open
A000383,C000173,2024-12-15,7562.76,4161.64,Revolving Credit,Open
A000384,C000173,2024-06-22,4788.45,1625.31,Revolving Credit,Open
A000385,C000175,2024-11-26,25149.28,14629.06,Commercial Card,Closed
A000386,C000174,2024-10-19,9537.84,4934.28,Commercial Card,Closed
A000387,C000174,2023-08-05,20440.76,10126.61,Commercial Card,Open
A000388,C000174,2024-08-28,11381.64,2912.53,Commercial Card,Open
A000389,C000174,2024-05-24,16817.67,7924.35,Fleet Card,Open
A000390,C000176,2023-02-05,5079.16,1787.56,Fleet Card,Open
A000391,C000176,2024-01-30,7854.49,2121.29,Fleet Card,Open
A000392,C000176,2024-01-13,2827.53,1437.14,Commercial Card,Open
A000393,C000177,2023-09-19,9489.09,2859.87,Revolving Credit,Closed
A000394,C000177,2023-10-25,5317.07,3093.6,Revolving Credit,Open
