transaction_id,account_id,transaction_timestamp,amount,merchant_id,merchant_category,country
T000000105,A000004,2025-04-27 17:19:00,145.59,M00434,Fuel,US
T000000106,A000004,2025-08-12 21:00:00,76.84,M00049,Tolls,MX
T000000107,A000004,2025-01-13 20:58:00,78.27,M00165,Maintenance,US
T000000108,A000004,2025-05-23 04:37:00,172.4,M00106,Tolls,US
T000000109,A000004,2025-01-25 07:55:00,112.18,M00977,Office,US
T000000110,A000004,2025-11-23 06:47:00,58.41,M00019,Restaurant,US
T000000111,A000004,2025-06-19 13:56:00,125.96,M00068,Office,US
T000000112,A000004,2025-03-13 18:16:00,14.85,M00047,Retail,US
T000000113,A000004,2025-12-31 04:48:00,117.96,M00808,Other,MX
T000000114,A000004,2025-07-31 13:12:00,115.29,M00575,Lodging,US
T000000115,A000004,2025-06-11 20:27:00,109.1,M01127,Maintenance,US
T000000116,A000005,2025-11-09 08:26:00,63.32,M00679,Office,US
T000000117,A000005,2025-12-14 13:43:00,98.27,M00098,Restaurant,US
T000000118,A000005,2025-04-11 13:42:00,124.39,M01101,Parts,CA
T000000119,A000005,2025-09-29 19:16:00,74.82,M00577,Tolls,US
T000000120,A000005,2025-07-13 21:15:00,9.45,M00005,Restaurant,US
T000000121,A000005,2025-01-10 22:50:00,140.24,M00233,Other,US
T000000122,A000005,2025-08-10 01:27:00,45.77,M00608,Fuel,US
T000000123,A000005,2025-08-23 04:31:00,142.04,M00896,Tolls,US
T000000124,A000005,2025-09-21 11:26:00,283.91,M00874,Retail,US
T000000125,A000005,2025-02-22 01:58:00,90.97,M00435,Fuel,US
T000000126,A000005,2025-01-17 19:45:00,270.75,M00012,Restaurant,US
T000000127,A000005,2025-11-05 18:09:00,121.09,M00658,Tolls,US
T000000128,A000005,2025-11-18 04:17:00,92.48,M00379,Parts,CA
T000000129,A000005,2025-07-25 05:29:00,47.31,M00594,Other,US
T000000130,A000005,2025-12-25 05:22:00,72.96,M00670,Lodging,US
T000000131,A000005,2025-09-12 11:12:00,343.64,M01034,Parts,US
T000000132,A000005,2025-11-20 22:28:00,83.54,M00094,Retail,MX
T000000133,A000005,2025-12-29 20:02:00,186.74,M00801,Tolls,US
T000000134,A000005,2025-05-02 05:41:00,129.24,M00137,Lodging,US
T000000135,A000005,2025-12-23 15:56:00,121.19,M00442,Retail,US
T000000136,A000005,2025-03-17 21:10:00,600.91,M00805,Other,CA
T000000137,A000005,2025-08-25 10:36:00,381.12,M01056,Maintenance,US
T000000138,A000005,2025-03-29 02:32:00,105.62,M01026,Restaurant,US
T000000139,A000005,2025-03-28 07:51:00,162.37,M01059,Office,US
T000000140,A000006,2025-09-05 15:05:00,77.93,M00509,Restaurant,CA
T000000141,A000006,2025-09-05 13:34:00,175.36,M00561,Retail,US
T000000142,A000006,2025-09-12 14:58:00,214.18,M00080,Other,US
T000000143,A000006,2025-10-24 01:27:00,275.55,M00207,Maintenance,US
T000000144,A000006,2025-06-02 19:35:00,31.64,M00921,Lodging,CA
T000000145,A000006,2025-09-05 19:36:00,198.86,M00522,Retail,US
T000000146,A000006,2025-08-26 03:41:00,71.7,M00550,Retail,MX
T000000147,A000006,2025-08-24 10:00:00,100.61,M00852,Maintenance,US
T000000148,A000006,2025-08-17 07:11:00,19.17,M00537,Parts,US
T000000149,A000006,2025-06-09 23:27:00,99.74,M01131,Office,US
T000000150,A000006,2025-02-28 15:58:00,195.76,M00610,Parts,US
T000000151,A000006,2025-01-19 22:27:00,65.22,M00871,Fuel,US
T000000152,A000006,2025-09-26 01:10:00,121.28,M00211,Restaurant,US
T000000153,A000006,2025-01-07 22:52:00,114.26,M01198,Retail,US
T000000154,A000006,2025-02-22 10:12:00,248.57,M00667,Restaurant,MX
T000000155,A000006,2025-10-17 08:15:00,104.71,M01013,Maintenance,US
T000000156,A000006,2025-05-25 20:07:00,209.79,M01161,Other,CA
T000000157,A000006,2025-08-25 15:32:00,109.38,M00989,Maintenance,US
T000000158,A000006,2025-06-20 08:16:00,212.34,M00942,Tolls,US
T000000159,A000006,2025-01-27 12:46:00,247.18,M01133,Parts,CA
T000000160,A000006,2025-10-23 04:01:00,34.6,M00958,Lodging,MX
T000000161,A000006,2025-06-02 13:27:00,250.22,M00112,Lodging,US
T000000162,A000007,2025-05-14 03:36:00,328.02,M00956,Tolls,US
T000000163,A000007,2025-02-19 01:46:00,77.7,M00099,Fuel,CA
T000000164,A000007,2025-10-14 20:16:00,230.01,M01073,Other,US
T000000165,A000007,2025-11-01 17:47:00,63.39,M00830,Office,CA
T000000166,A000007,2025-04-01 14:45:00,45.39,M00187,Other,CA
T000000167,A000007,2025-03-23 14:46:00,268.08,M00384,Other,CA
T000000168,A000007,2025-02-15 00:08:00,90.67,M00115,Retail,US
T000000169,A000007,2025-06-19 08:12:00,66.87,M00904,Parts,US
T000000170,A000007,2025-04-29 10:59:00,152.68,M00621,Lodging,US
T000000171,A000007,2025-12-31 04:53:00,31.36,M00860,Other,MX
T000000172,A000007,2025-10-11 03:02:00,175.79,M00919,Office,MX
T000000173,A000007,2025-03-31 07:04:00,69.38,M00857,Other,US
T000000174,A000007,2025-07-02 07:07:00,38.79,M00654,Tolls,MX
T000000175,A000007,2025-03-24 08:13:00,9.37,M00839,Fuel,US
T000000176,A000007,2025-03-27 20:16:00,176.73,M00875,Office,CA
T000000177,A000007,2025-11-17 22:03:00,119.77,M00827,Lodging,US
T000000178,A000007,2025-08-23 15:43:00,92.18,M00733,Tolls,US
T000000179,A000007,2025-08-07 05:46:00,148.21,M00745,Retail,US
T000000180,A000007,2025-03-29 01:01:00,508.16,M00294,Retail,CA
T000000181,A000007,2025-09-06 12:02:00,89.72,M01055,Office,US
T000000182,A000007,2025-12-17 08:27:00,614.77,M00548,Retail,US
T000000183,A000007,2025-05-06 15:06:00,592.72,M00026,Parts,MX
T000000184,A000007,2025-06-07 18:41:00,33.86,M00565,Other,US
T000000185,A000007,2025-04-27 00:13:00,184.34,M00895,Restaurant,US
T000000186,A000007,2025-03-24 23:09:00,67.15,M00683,Other,US
T000000187,A000007,2025-04-07 07:02:00,45.06,M00919,Lodging,US
T000000188,A000007,2025-06-11 21:00:00,198.33,M00324,Parts,MX
T000000189,A000007,2025-08-06 03:51:00,625.09,M00286,Tolls,CA
T000000190,A000007,2025-03-26 19:16:00,238.85,M00557,Lodging,MX
T000000191,A000007,2025-06-27 16:09:00,58.73,M00530,Maintenance,MX
T000000192,A000008,2025-08-09 14:14:00,48.68,M00507,Parts,CA
T000000193,A000008,2025-12-27 10:06:00,90.74,M00190,Parts,US
T000000194,A000008,2025-02-16 04:42:00,85.75,M00766,Parts,US
T000000195,A000008,2025-04-09 14:37:00,31.15,M00386,Tolls,US
T000000196,A000008,2025-03-25 06:24:00,391.26,M00585,Lodging,MX
T000000197,A000008,2025-07-09 02:26:00,180.89,M01046,Fuel,US
T000000198,A000008,2025-10-22 15:43:00,99.13,M00847,Maintenance,US
T000000199,A000008,2025-08-30 12:01:00,62.54,M00827,Lodging,US
T000000200,A000008,2025-09-04 14:26:00,123.76,M00338,Lodging,US
T000000201,A000008,2025-05-04 11:34:00,211.38,M00848,Fuel,MX
T000000202,A000008,2025-12-25 07:00:00,146.17,M00653,Tolls,US
T000000203,A000008,2025-12-19 13:47:00,54.39,M00096,Other,US
T000000204,A000008,2025-04-12 00:11:00,25.83,M00592,Tolls,MX
T000000205,A000008,2025-04-05 00:32:00,219.16,M00728,Retail,US
T000000206,A000008,2025-09-13 16:41:00,91.04,M00191,Office,US
T000000207,A000008,2025-03-31 07:15:00,91.51,M00155,Maintenance,US
T000000208,A000008,2025-08-29 11:44:00,143.76,M00643,Tolls,US
T000000209,A000008,2025-10-11 14:14:00,548.35,M00559,Office,US
T000000210,A000008,2025-03-31 01:36:00,390.02,M00584,Other,US
T000000211,A000008,2025-07-10 09:18:00,281.43,M00578,Lodging,CA
T000000212,A000008,2025-03-07 22:56:00,85.65,M00421,Lodging,CA
T000000213,A000009,2025-10-25 22:47:00,100.16,M00922,Other,MX
T000000214,A000009,2025-02-10 19:52:00,274.67,M00839,Tolls,US
T000000215,A000009,2025-11-27 05:18:00,196.05,M01038,Restaurant,US
T000000216,A000009,2025-03-31 23:32:00,130.7,M00798,Tolls,US
T000000217,A000009,2025-11-15 15:06:00,27.88,M01037,Office,US
T000000218,A000009,2025-02-13 06:51:00,230.54,M00908,Other,US
T000000219,A000009,2025-04-01 11:31:00,178.49,M01151,Fuel,US
T000000220,A000009,2025-11-12 02:46:00,103.45,M00339,Maintenance,US
T000000221,A000009,2025-10-02 23:50:00,101.93,M00813,Fuel,US
T000000222,A000009,2025-01-06 09:03:00,46.01,M00767,Tolls,US
T000000223,A000009,2025-08-27 00:26:00,88.49,M00329,Restaurant,MX
T000000224,A000009,2025-12-05 12:35:00,139.78,M00102,Office,US
T000000225,A000009,2025-09-12 05:37:00,90.3,M00139,Maintenance,CA
T000000226,A000009,2025-07-31 23:57:00,234.31,M00681,Tolls,MX
T000000227,A000009,2025-03-15 02:03:00,365.57,M00117,Tolls,US
T000000228,A000009,2025-09-01 22:56:00,353.15,M00274,Restaurant,US
T000000229,A000009,2025-03-22 02:09:00,194.96,M00072,Lodging,US
T000000230,A000009,2025-12-18 11:46:00,287.49,M00338,Parts,US
T000000231,A000009,2025-11-09 05:12:00,98.29,M00500,Restaurant,MX
T000000232,A000009,2025-08-06 20:47:00,81.76,M00150,Tolls,MX
T000000233,A000009,2025-04-26 08:17:00,75.48,M00045,Tolls,CA
T000000234,A000009,2025-05-11 07:12:00,222.56,M00653,Fuel,US
T000000235,A000009,2025-10-30 05:33:00,51.27,M00814,Restaurant,US
T000000236,A000009,2025-06-05 20:50:00,176.21,M01020,Lodging,US
T000000237,A000009,2025-08-05 07:23:00,207.92,M01160,Restaurant,CA
T000000238,A000009,2025-11-04 20:15:00,212.3,M00641,Restaurant,MX
T000000239,A000010,2025-06-27 15:58:00,61.7,M00868,Retail,US
T000000240,A000010,2025-11-15 01:53:00,232.08,M00656,Parts,US
T000000241,A000010,2025-08-18 00:06:00,304.15,M00779,Fuel,US
T000000242,A000010,2025-03-13 22:47:00,102.04,M00264,Fuel,US
T000000243,A000010,2025-10-02 06:59:00,84.19,M00459,Fuel,US
T000000244,A000010,2025-10-29 19:42:00,109.76,M00473,Office,CA
T000000245,A000010,2025-07-26 09:49:00,35.3,M00166,Office,US
T000000246,A000010,2025-04-08 21:43:00,261.06,M00050,Office,US
T000000247,A000010,2025-12-19 02:17:00,234.46,M00580,Other,US
T000000248,A000010,2025-09-14 15:27:00,311.71,M00140,Tolls,US
T000000249,A000010,2025-10-28 02:42:00,63.59,M00618,Retail,US
T000000250,A000010,2025-08-23 12:25:00,134.61,M01143,Lodging,CA
T000000251,A000010,2025-05-29 12:54:00,116.31,M00712,Parts,US
T000000252,A000010,2025-04-09 23:55:00,37.59,M01055,Maintenance,US
T000000253,A000010,2025-01-22 11:26:00,67.43,M00445,,CA
T000000254,A000010,2025-06-06 07:26:00,91.14,M00190,Maintenance,MX
T000000255,A000010,2025-10-29 16:05:00,166.33,M00341,Other,US
T000000256,A000010,2025-04-19 06:29:00,223.14,M00490,Restaurant,US
T000000257,A000010,2025-01-18 13:44:00,34.07,M00565,Maintenance,CA
T000000258,A000010,2025-10-12 15:27:00,115.69,M01153,Maintenance,CA
T000000259,A000010,2025-11-25 01:20:00,408.29,M00810,Retail,MX
T000000260,A000010,2025-03-21 20:21:00,51.54,M00285,Other,US
T000000261,A000010,2025-10-08 16:42:00,103.72,M00900,Other,US
T000000262,A000010,2025-03-28 22:07:00,112.3,M00571,Retail,MX
T000000263,A000011,2025-09-23 16:55:00,109.54,M00242,Office,MX
T000000264,A000011,2025-04-27 04:14:00,152.76,M00936,Other,MX
T000000265,A000011,2025-10-22 23:43:00,101.23,M00369,Maintenance,US
T000000266,A000011,2025-01-23 15:22:00,20.24,M00658,Other,US
T000000267,A000011,2025-09-17 00:17:00,25.03,M00954,Maintenance,US
T000000268,A000011,2025-08-28 23:49:00,45.03,M00399,Restaurant,US
T000000269,A000011,2025-07-22 20:45:00,148.47,M00309,Parts,US
T000000270,A000011,2025-12-21 22:41:00,128.35,M01100,Parts,US
T000000271,A000011,2025-04-24 10:59:00,94.09,M01194,Other,US
T000000272,A000011,2025-04-01 18:53:00,259.58,M00577,Fuel,US
T000000273,A000011,2025-08-06 00:54:00,216.15,M00718,Retail,US
T000000274,A000011,2025-11-28 05:47:00,128.65,M00010,Office,US
T000000275,A000011,2025-04-11 04:28:00,182.81,M01184,Maintenance,US
T000000276,A000011,2025-05-06 19:04:00,77.81,M00942,Restaurant,MX
T000000277,A000011,2025-04-23 10:09:00,173.51,M01144,Tolls,MX
T000000278,A000011,2025-01-11 22:08:00,58.14,M00243,Maintenance,US
T000000279,A000011,2025-12-10 15:35:00,109.2,M00432,Fuel,MX
T000000280,A000011,2025-04-21 02:10:00,85.21,M00065,Fuel,US
T000000281,A000011,2025-08-03 21:14:00,489.0,M00906,Retail,CA
T000000282,A000011,2025-11-13 08:59:00,607.18,M00570,Maintenance,MX
T000000283,A000011,2025-05-17 08:04:00,58.42,M00283,Lodging,US
T000000284,A000011,2025-06-05 03:14:00,32.39,M00437,Restaurant,CA
T000000285,A000011,2025-06-28 19:20:00,116.57,M00052,Office,US
T000000286,A000011,2025-08-13 23:34:00,315.08,M00979,Other,US
T000000287,A000011,2025-05-19 04:27:00,84.44,M00681,Fuel,MX
T000000288,A000011,2025-06-07 12:46:00,139.8,M00020,Fuel,US
T000000289,A000011,2025-05-09 20:23:00,282.62,M00397,Retail,US
T000000290,A000011,2025-05-11 22:14:00,50.03,M00125,Other,US
T000000291,A000011,2025-11-18 18:01:00,69.59,M00815,Maintenance,US
T000000292,A000011,2025-12-29 17:35:00,668.98,M00882,Restaurant,MX
T000000293,A000011,2025-09-21 05:47:00,269.38,M00409,Parts,US
T000000294,A000011,2025-04-28 13:59:00,224.0,M00868,Maintenance,US
T000000295,A000012,2025-01-18 09:19:00,160.0,M00232,Tolls,MX
T000000296,A000012,2025-12-06 15:52:00,209.93,M00206,Retail,CA
T000000297,A000012,2025-01-28 06:08:00,59.58,M00984,Lodging,US
T000000298,A000012,2025-08-05 12:39:00,35.63,M00397,Parts,US
T000000299,A000012,2025-02-13 23:46:00,272.54,M00732,Other,US
T000000300,A000012,2025-01-31 13:35:00,40.85,M00885,Retail,CA
T000000301,A000012,2025-03-10 10:13:00,59.66,M00579,Restaurant,US
T000000302,A000012,2025-06-07 12:37:00,39.74,M00288,Parts,US
T000000303,A000012,2025-03-20 16:42:00,162.02,M00611,Lodging,US
T000000304,A000012,2025-01-13 11:08:00,145.67,M00122,Fuel,US
T000000305,A000012,2025-12-09 05:39:00,127.18,M00147,Tolls,US
T000000306,A000012,2025-06-22 17:32:00,276.39,M00561,Fuel,CA
T000000307,A000012,2025-01-18 10:19:00,81.29,M00826,Office,US
T000000308,A000012,2025-10-09 13:01:00,105.13,M00483,Tolls,US
T000000309,A000012,2025-11-05 23:53:00,77.0,M00343,Tolls,US
T000000310,A000012,2025-09-11 13:07:00,108.21,M01068,Restaurant,US
T000000311,A000012,2025-08-05 22:56:00,365.56,M00350,Tolls,US
T000000312,A000012,2025-08-26 13:32:00,45.0,M00786,Restaurant,US
T000000313,A000012,2025-07-24 10:46:00,223.32,M00659,Fuel,US
T000000314,A000012,2025-06-12 10:30:00,85.95,M00452,Parts,US
T000000315,A000012,2025-09-05 22:42:00,150.54,M01080,Tolls,MX
T000000316,A000014,2025-12-01 04:30:00,22.73,M01084,Maintenance,US
T000000317,A000014,2025-01-31 22:38:00,240.89,M00858,Other,MX
T000000318,A000014,2025-06-16 03:37:00,20.15,M00143,Retail,US
T000000319,A000014,2025-10-28 20:41:00,191.77,M00814,Parts,US
T000000320,A000014,2025-05-11 08:56:00,56.82,M00238,Tolls,CA
T000000321,A000014,2025-03-11 14:42:00,402.45,M00648,Other,US
T000000322,A000014,2025-09-26 14:57:00,266.62,M00464,Tolls,US
T000000323,A000014,2025-06-15 10:56:00,208.14,M00230,Maintenance,US
T000000324,A000014,2025-05-05 19:36:00,117.8,M00959,Other,US
T000000325,A000014,2025-04-27 08:25:00,224.42,M00852,Parts,US
T000000326,A000014,2025-11-20 04:44:00,-78.38,M01034,Restaurant,CA
T000000327,A000014,2025-11-14 11:17:00,319.88,M00454,Other,US
T000000328,A000014,2025-05-19 23:44:00,77.42,M00484,Office,US
T000000329,A000014,2025-03-20 10:13:00,35.44,M01038,Office,US
T000000330,A000014,2025-12-11 10:06:00,141.09,M01032,Maintenance,US
T000000331,A000014,2025-08-05 13:39:00,62.1,M00803,Office,US
T000000332,A000014,2025-02-10 02:32:00,75.24,M00722,Tolls,CA
T000000333,A000014,2025-08-27 21:48:00,138.03,M00759,Restaurant,US
T000000334,A000014,2025-08-15 22:45:00,19.85,M00975,Retail,CA
T000000335,A000014,2025-07-24 18:55:00,49.25,M00545,Lodging,US
T000000336,A000014,2025-09-22 18:02:00,103.65,M00376,Other,US
T000000337,A000014,2025-02-01 02:38:00,88.1,M01174,Other,US
T000000338,A000014,2025-09-11 15:38:00,84.45,M01118,Lodging,US
T000000339,A000014,2025-01-11 18:24:00,45.03,M01025,Maintenance,US
T000000340,A000014,2025-10-17 08:48:00,110.72,M01190,Other,US
T000000341,A000014,2025-08-20 21:31:00,86.52,M00801,Other,US
T000000342,A000014,2025-05-25 21:53:00,128.82,M00339,Parts,US
T000000343,A000014,2025-02-27 13:31:00,8.21,M00406,Maintenance,MX
T000000344,A000014,2025-02-28 22:47:00,118.59,M00656,Retail,US
T000000345,A000014,2025-08-09 21:19:00,38.93,M00588,Parts,MX
T000000346,A000014,2025-07-21 15:59:00,53.5,M00997,Tolls,US
T000000347,A000014,2025-11-10 03:32:00,263.26,M00531,Other,US
T000000348,A000014,2025-01-08 10:55:00,46.66,M00625,Parts,US
T000000349,A000014,2025-07-06 03:36:00,28.95,M00489,Tolls,CA
T000000350,A000014,2025-11-03 10:20:00,123.35,M00848,Retail,US
T000000351,A000015,2025-07-08 22:03:00,132.38,M00981,Lodging,US
T000000352,A000015,2025-02-13 17:11:00,34.93,M00256,Parts,US
T000000353,A000015,2025-11-12 06:56:00,26.2,M00999,Retail,US
T000000354,A000015,2025-08-11 09:19:00,112.64,M00329,Office,US
T000000355,A000015,2025-05-14 21:36:00,57.74,M01026,Lodging,MX
T000000356,A000015,2025-11-30 04:55:00,448.66,M00805,Lodging,US
T000000357,A000015,2025-06-25 02:04:00,65.6,M00174,Office,CA
T000000358,A000015,2025-04-27 00:26:00,133.0,M01047,Lodging,US
T000000359,A000015,2025-11-03 02:34:00,299.8,M01193,Office,US
T000000360,A000015,2025-09-17 08:36:00,219.37,M00313,Parts,US
T000000361,A000015,2025-11-18 01:13:00,65.19,M00307,Lodging,US
T000000362,A000015,2025-07-15 03:40:00,66.96,M00221,Parts,US
T000000363,A000015,2025-05-25 07:59:00,34.84,M00096,Fuel,MX
T000000364,A000015,2025-03-01 13:15:00,102.07,M00590,Retail,US
T000000365,A000015,2025-05-30 14:14:00,137.26,M00249,Tolls,CA
T000000366,A000015,2025-07-31 03:54:00,200.62,M01053,Lodging,US
T000000367,A000015,2025-11-03 12:29:00,95.78,M00448,Maintenance,US
T000000368,A000015,2025-03-24 19:35:00,72.0,M01131,Maintenance,US
T000000369,A000015,2025-12-22 23:38:00,52.41,M00717,Retail,MX
T000000370,A000015,2025-01-22 23:34:00,53.07,M00771,Maintenance,US
T000000371,A000015,2025-06-09 14:34:00,45.51,M00972,Other,US
T000000372,A000015,2025-05-06 08:50:00,65.6,M00031,Other,US
T000000373,A000015,2025-10-03 10:55:00,556.7,M01153,Restaurant,US
T000000374,A000015,2025-06-21 23:17:00,38.89,M00041,Office,CA
T000000375,A000015,2025-03-12 15:07:00,97.63,M01103,Parts,CA
T000000376,A000015,2025-01-19 23:18:00,49.63,M01142,Restaurant,US
T000000377,A000015,2025-07-05 17:05:00,336.86,M00197,Fuel,US
T000000378,A000015,2025-02-16 18:16:00,93.68,M00250,Office,MX
